Service_Type_ID,Category_Code,Parent_Category_Code,Service_Type_Name,Description,Delivery_Channel,Primary_Pricing_Model,Benchmark_Unit,Frontline_Agent_Type,Managed_Service_Load,Tier_Structure,Default_AHT_Minutes,Required_Modifiers,Optional_Modifiers,Typical_Vendors,Confidence,AHT_Data_Tier,AHT_Source,Complexity_Tier,Service_Unit_Name,Service_Unit_Definition,Typical_Volume_Low,Typical_Volume_High,Confidence_Score
ST-COP-003-01-05,CAT-COP-003,CAT-COP-003,Policy Enforcement Operations,"Apply platform rules to user accounts and content by executing standardized enforcement actions (warnings, restrictions, suspensions) based on evidence and decision matrices. The primary frontline role is a Trust & Safety Enforcement Analyst. SLAs commonly track time-to-action, enforcement accuracy, and rework/overturn rates via QA.",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-003-01-06,CAT-COP-003,CAT-COP-003,User Appeals & Escalations Management,"Review user appeals and escalated cases to adjudicate disputed enforcement actions, using deeper policy knowledge and precedent. The primary frontline role is an Appeals & Escalations Specialist. SLAs typically include appeal resolution time, decision quality score, and overturn/confirmation rates tracked over time.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-01,CAT-COP-004,CAT-COP-004,Advertising & Paid Media Moderation,"Review advertisements and paid media submissions for policy and regulatory compliance (claims, prohibited content, targeting rules) before and after publication. The primary frontline role is an Ad Review Specialist. SLAs commonly include review turnaround time, approval accuracy, and escalation handling time for policy exceptions.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-02,CAT-COP-004,CAT-COP-004,Appeals & Secondary Review for Moderation,"Perform second-level review of moderation decisions and user appeals, validating actions against policy and precedent to ensure consistency. The primary frontline role is a Moderation Appeals Specialist. SLAs typically include appeal resolution time, overturn rate tracking, and decision quality/consistency via QA.",Async,T&M,Hour,Image_Moderation,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-03,CAT-COP-004,CAT-COP-004,CSAM & Illegal Content Triage,"Triage and escalate suspected illegal content (including child safety issues) using strict handling procedures and controlled-access tooling. The primary frontline role is an Illegal Content Triage Specialist. SLAs focus on time-to-escalation for high-severity items, chain-of-custody compliance, and decision accuracy under heightened QA.",Async,T&M,Hour,Marketing_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-04,CAT-COP-004,CAT-COP-004,Image Moderation Services,"Review user-generated images to identify policy violations (e.g., nudity, violence, illegal content) using decision trees and tooling. The primary frontline role is a Visual Content Moderator. SLAs commonly include review accuracy/QA score, time-to-action for critical items, and throughput (assets per hour).",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-05,CAT-COP-004,CAT-COP-004,Text & Comment Moderation Services,"Review text posts, comments, and messages to detect harassment, hate speech, spam, or other policy violations with language and context checks. The primary frontline role is a Text Content Moderator. SLAs commonly track decision accuracy, turnaround time per queue, and false-positive/false-negative rates via sampled QA.",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-06,CAT-COP-004,CAT-COP-004,UGC Community Review & Forum Moderation,"Moderate communities and forums through proactive sweeps and reactive reports to keep discussions compliant and healthy. The primary frontline role is a Community Moderator. SLAs typically cover response time to reports, coverage/compliance rates for assigned spaces, and moderation quality scores.",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-COP-004-01-07,CAT-COP-004,CAT-COP-004,Video & Live Stream Moderation Services,"Review video and live-stream content for policy violations using real-time and post-event workflows, including escalation for high-severity content. The primary frontline role is a Video/Live Content Moderator. SLAs typically include time-to-action, accuracy/QA score, and review volume targets under defined coverage windows.",Async,T&M,Hour,Content_Moderator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-001-01-01,CAT-CO-001,CAT-CO-001,Customer Case Management & Escalations,"Process complex customer cases that require multi-system investigation, cross-functional coordination, and documented resolution decisions. Primary frontline role is a Case Manager. Output unit is a case closed; SLAs include turnaround time, escalation aging, and resolution accuracy.",Async,T&M,Hour,Operations_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-001-01-02,CAT-CO-001,CAT-CO-001,Customer Claims Intake & Case Support,"Support customer-facing legal/claims workflows by collecting documentation, logging claims, coordinating with legal/insurance teams, and communicating status updates to customers per scripts. Primary frontline role is a Claims Support Specialist. Output unit is a claim file assembled or claim status update completed; SLAs include intake timeliness, documentation completeness, and escalation turnaround.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-001-01-03,CAT-CO-001,CAT-CO-001,"Refunds, Returns & Chargeback Operations","Execute refunds/returns workflows and manage chargeback evidence preparation, ensuring policy compliance and accurate ledger/customer updates. Primary frontline role is a Disputes Specialist. Output unit is a refund processed or chargeback package submitted; SLAs include processing time, error rate, and dispute win-rate tracking.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-002-01-01,CAT-CO-002,CAT-CO-002,Contact Center Quality Assurance & Calibration,"Perform QA monitoring, score interactions against rubrics, run calibrations, and provide actionable feedback summaries to operations leads. Primary frontline role is a QA Analyst. Output unit is an interaction evaluated; SLAs include sampling coverage, scoring turnaround time, and calibration variance thresholds.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-002-01-02,CAT-CO-002,CAT-CO-002,Customer Experience Analytics Services,"Analyze interaction data, journey maps, and operational metrics to identify CX improvement opportunities; build dashboards and produce insight reports. The primary frontline role is a CX Analyst. Typical unit of output is an analytics report or dashboard. SLAs focus on reporting cadence, data accuracy, and insight turnaround time.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-002-01-03,CAT-CO-002,CAT-CO-002,Customer Experience Training & Nesting Support,"Deliver agent onboarding, refresher training, and nesting-floor support including knowledge checks and coaching documentation. Primary frontline role is a CX Trainer. Output unit is a trainee cohort graduated; SLAs include time-to-proficiency, training completion, and post-training QA outcomes.",Async,T&M,Hour,Trainer,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-002-01-04,CAT-CO-002,CAT-CO-002,Quality Assurance & Monitoring Services,"Evaluate agent interactions across channels for quality, compliance, and brand standards using scorecards and calibration sessions. The primary frontline role is a QA Analyst. Typical unit of output is a quality evaluation or calibration session. SLAs focus on evaluation volume, calibration frequency, and inter-rater reliability.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-002-01-05,CAT-CO-002,CAT-CO-002,Workforce Management & Scheduling Services,"Forecast interaction volumes, build staffing plans, manage real-time adherence, and optimize scheduling for contact center operations. The primary frontline role is a WFM Analyst. Typical unit of output is a staffing plan or schedule. SLAs focus on forecast accuracy, schedule adherence, and service level achievement.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-003-01-01,CAT-CO-003,CAT-CO-003,Capacity Planning & Staffing Strategy Support,"Provide medium/long-range capacity plans, scenario modeling, and staffing recommendations tied to service level targets and seasonality. Primary frontline role is a Capacity Planner. Output unit is a capacity plan/forecast package; SLAs focus on plan timeliness, assumptions governance, and forecast error thresholds.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-003-01-02,CAT-CO-003,CAT-CO-003,"Forecasting, Scheduling & Real-Time Adherence Management","Run WFM operations including volume forecasting, schedule creation, intraday management, and adherence reporting with corrective actions. Primary frontline role is a WFM Analyst. Output unit is a schedule published or intraday interval managed; SLAs include forecast accuracy, schedule adherence, and staffing coverage.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-01,CAT-CO-004,CAT-CO-004,Back-Office & Case Processing Services,"Process customer requests requiring offline handling: document verification, form processing, case research, correspondence, and exception handling. The primary frontline role is a Back-Office Processing Agent. Typical unit of output is a processed case or request. SLAs focus on case turnaround time, accuracy rate, and aging queue management.",Async,T&M,Hour,Back_Office_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-02,CAT-CO-004,CAT-CO-004,Chat Support Agent Services,"Handle real-time customer support via chat, including troubleshooting, account actions, and escalation to back office or specialists. Primary frontline role is a Chat Support Agent. Output unit is a chat handled; SLAs include first response time, concurrency targets, resolution rate, and CSAT/QA scores.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-03,CAT-CO-004,CAT-CO-004,Customer Inquiry & Case Resolution Services,"Handle customer inquiries across channels (email, phone, chat) including troubleshooting, account support, billing questions, and case resolution. The primary frontline role is a Customer Support Agent. SLAs include first response time, resolution time, CSAT, and quality scores.",Async,T&M,Hour,Customer_Success_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-04,CAT-CO-004,CAT-CO-004,Digital & Messaging Support,"Handle customer inquiries via chat, email, and social channels using knowledge bases and ticketing systems to resolve common issues. The primary frontline role is a Digital Customer Support Agent. SLAs commonly include first response time, resolution time, CSAT, and backlog/throughput targets.",Async,T&M,Hour,Customer_Success_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-05,CAT-CO-004,CAT-CO-004,Email & Messaging Support Operations,"Manage asynchronous customer support through email and messaging (e.g., SMS, WhatsApp), including templated responses and case updates. Primary frontline role is a Customer Support Associate. Output unit is a ticket/message resolved; SLAs include response time, backlog age, quality score, and recontact rate.",Async,T&M,Hour,Customer_Success_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-06,CAT-CO-004,CAT-CO-004,Escalations & Complaints Management,"Manage escalated customer complaints requiring advanced investigation, cross-functional coordination, and documented resolution outcomes. The primary frontline role is an Escalations Specialist. SLAs include escalation response time, resolution turnaround, and repeat complaint rates.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-07,CAT-CO-004,CAT-CO-004,Inbound Contact Center Agent Services,"Provide customer support via inbound voice channels following defined call flows, authentication steps, and case documentation standards. Primary frontline role is a Customer Service Representative. Output unit is a call handled; SLAs typically include ASA, abandonment rate, AHT ranges, QA score, and CSAT.",Async,T&M,Hour,Customer_Success_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-08,CAT-CO-004,CAT-CO-004,Inbound Voice Support,"Provide inbound voice customer support for account questions, billing issues, and basic troubleshooting, routing complex issues when needed. The primary frontline role is an Inbound Voice Support Representative. SLAs typically include average handle time (AHT), first call resolution (FCR), abandonment rate, and CSAT.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-09,CAT-CO-004,CAT-CO-004,Multilingual & Overflow Support Services,"Provide language-specific customer support and surge/overflow capacity during peak volumes, seasonal spikes, or business continuity events. The primary frontline role is a Multilingual Support Agent. Typical unit of output is a handled interaction in target language. SLAs focus on language coverage, response time during surge, and quality consistency.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-10,CAT-CO-004,CAT-CO-004,Outbound Contact Center Sales & Retention Services,"Conduct outbound calling for sales outreach, renewals, win-back, or save offers with scripted compliance and CRM documentation. Primary frontline role is an Outbound Sales Agent. Output unit is an attempt or contact completed; SLAs include contact rate, conversion rate, compliance adherence, and disposition accuracy.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-004-01-11,CAT-CO-004,CAT-CO-004,Outbound Customer Contact Services,"Execute outbound customer contact campaigns for surveys, appointment confirmations, collections follow-up, renewal reminders, and proactive notifications. The primary frontline role is an Outbound Contact Agent. Typical unit of output is a completed outbound contact. SLAs focus on contact rate, right-party contact rate, completion rates, and compliance adherence.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-01,CAT-CO-005,CAT-CO-005,Customer Adoption & Enablement Services,"Run post-onboarding enablement programs including training sessions, adoption playbooks, and usage nudges to drive product value realization. Primary frontline role is a Customer Enablement Specialist. Output unit is an enablement session delivered or playbook completed; SLAs include program cadence, attendance/completion, and adoption KPI lift tracking.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-02,CAT-CO-005,CAT-CO-005,Customer Health Monitoring & Renewal Risk Flagging,"Monitor customer health signals (usage, support history, NPS) and produce renewal risk flags with recommended actions for CSMs and sales. Primary frontline role is a Customer Success Operations Analyst. Output unit is a health score refresh or risk list published; SLAs include data freshness, accuracy, and actionability/coverage.",Async,T&M,Hour,Operations_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-03,CAT-CO-005,CAT-CO-005,Customer Onboarding & Implementation Support,"Guide new customers through setup, configuration, and training activities to achieve initial adoption and time-to-value. The primary frontline role is an Implementation Specialist. SLAs commonly include onboarding cycle time, milestone completion, and onboarding satisfaction scores.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-04,CAT-CO-005,CAT-CO-005,Customer Renewal & Expansion Support,"Support renewals and expansion motions through customer health tracking, renewal planning workflows, and upsell/cross-sell enablement coordination. The primary frontline role is a Customer Success Associate. SLAs include renewal cycle timeliness, churn rate, and expansion pipeline conversion.",Async,T&M,Hour,Customer_Success_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-05,CAT-CO-005,CAT-CO-005,Customer Retention & Win-Back Services,"Execute targeted retention campaigns for at-risk customers and win-back programs for churned accounts through outbound engagement. The primary frontline role is a Retention Specialist. Typical unit of output is a retained or recovered account. SLAs focus on save rate, win-back rate, and offer utilization accuracy.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-06,CAT-CO-005,CAT-CO-005,Proactive Customer Success Management,"Monitor customer health and adoption, run periodic check-ins, and intervene to prevent churn and drive expansion where appropriate. The primary frontline role is a Customer Success Manager (CSM). SLAs typically include renewal rate/NRR targets, customer health scores, and response time to risks or escalations.",Async,T&M,Hour,Customer_Success_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-005-01-07,CAT-CO-005,CAT-CO-005,Voice of Customer & Feedback Operations,"Collect, process, and analyze customer feedback through surveys (NPS, CSAT, CES), interviews, and feedback platforms; produce actionable insight reports. The primary frontline role is a VoC Analyst. Typical unit of output is a survey cycle or insight report. SLAs focus on survey response rates, analysis turnaround, and insight delivery cadence.",Async,T&M,Hour,Technical_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-01,CAT-CO-006,CAT-CO-006,Billing & Invoice Support Services,"Handle billing inquiries, invoice disputes, payment processing support, and account balance management for customers. The primary frontline role is a Billing Support Specialist. Typical unit of output is a resolved billing inquiry or processed adjustment. SLAs focus on inquiry resolution time, billing accuracy, and dispute resolution cycle time.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-02,CAT-CO-006,CAT-CO-006,Billing & Subscription Support Services,"Resolve complex billing inquiries, perform manual subscription adjustments, and process refunds or credits within CRM/billing platforms. The primary frontline role is a Billing Support Specialist. SLAs typically include ticket resolution turnaround, processing accuracy, and financial compliance controls.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-03,CAT-CO-006,CAT-CO-006,Catalog & Product Content Management,"Create, update, and maintain product listings, descriptions, attributes, and digital assets across e-commerce platforms and marketplaces. The primary frontline role is a Catalog Specialist. Typical unit of output is a product listing created or updated. SLAs focus on listing accuracy, update turnaround time, and catalog completeness.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-04,CAT-CO-006,CAT-CO-006,Collections & Receivables Management,"Execute collections campaigns through outbound contact across delinquency stages; negotiate payment arrangements and manage escalation to third-party agencies. The primary frontline role is a Collections Specialist. Typical unit of output is a collections contact or resolved delinquent account. SLAs focus on contact rate, promise-to-pay rate, recovery rate, and days sales outstanding.",Async,T&M,Hour,Collections_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-05,CAT-CO-006,CAT-CO-006,Marketplace Operations & Seller Support,"Manage multi-marketplace presence (Amazon, eBay, Walmart), handle seller support, resolve listing issues, and manage marketplace compliance. The primary frontline role is a Marketplace Operations Specialist. Typical unit of output is a managed marketplace account or resolved seller issue. SLAs focus on listing uptime, issue resolution time, and marketplace compliance rate.",Async,T&M,Hour,Operations_Manager,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-06,CAT-CO-006,CAT-CO-006,Order Management & Fulfillment Support,"Process orders, manage order exceptions, coordinate fulfillment status inquiries, and handle returns/exchanges across e-commerce platforms. The primary frontline role is an Order Management Specialist. Typical unit of output is a processed order or resolved order exception. SLAs focus on order processing time, exception resolution rate, and order accuracy.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-006-01-07,CAT-CO-006,CAT-CO-006,Subscription & Renewal Management Services,"Process subscription changes, manage renewal workflows, handle cancellation requests with retention offers, and maintain subscription lifecycle accuracy. The primary frontline role is a Subscription Management Specialist. Typical unit of output is a processed subscription transaction. SLAs focus on renewal rate, processing accuracy, and cancellation deflection rate.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-01,CAT-CO-007,CAT-CO-007,Account Management & Upsell Services,"Provide the 'Account Management & Upsell Services' service as an outsourced workflow within the Sales Operations domain. The primary frontline role is a specialist aligned to this workflow. SLAs typically cover turnaround time, quality/accuracy, and throughput or availability metrics appropriate to the service.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-02,CAT-CO-007,CAT-CO-007,CRM Data Hygiene & Lead/Opportunity Administration,"Maintain CRM accuracy through lead/opportunity creation, deduplication, field completeness, territory routing support, and pipeline governance. Primary frontline role is a Sales Operations Coordinator. Output unit is a record created/updated; SLAs include routing latency, completeness rate, and duplicate/error rate.",Async,T&M,Hour,Wellness_Coordinator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-03,CAT-CO-007,CAT-CO-007,Inbound Sales Services,"Provide inbound voice customer support for account questions, billing issues, and basic troubleshooting, routing complex issues when needed. The primary frontline role is an Inbound Voice Support Representative. SLAs typically include average handle time (AHT), first call resolution (FCR), abandonment rate, and CSAT.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-04,CAT-CO-007,CAT-CO-007,Lead Generation & Appointment Setting,"Provide the 'Lead Generation & Appointment Setting' service as an outsourced workflow within the Sales Operations domain. The primary frontline role is a specialist aligned to this workflow. SLAs typically cover turnaround time, quality/accuracy, and throughput or availability metrics appropriate to the service.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-05,CAT-CO-007,CAT-CO-007,Outbound Telesales Services,"Provide the 'Outbound Telesales Services' service as an outsourced workflow within the Sales Operations domain. The primary frontline role is a specialist aligned to this workflow. SLAs typically cover turnaround time, quality/accuracy, and throughput or availability metrics appropriate to the service.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-06,CAT-CO-007,CAT-CO-007,Quote-to-Cash Deal Desk Support,"Provide deal desk operations including pricing request intake, approval routing, quote assembly, and exception tracking across CPQ and finance/legal stakeholders. Primary frontline role is a Deal Desk Analyst. Output unit is a quote package delivered; SLAs include turnaround time, approval cycle time, and error/redo rate.",Async,T&M,Hour,Service_Desk_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-07,CAT-CO-007,CAT-CO-007,Sales Enablement Content & Training Support,"Support sales enablement by updating playbooks, maintaining content libraries, coordinating training sessions, and tracking completion/usage metrics. The primary frontline role is a Sales Enablement Coordinator. SLAs include content refresh cadence, training delivery timeliness, and stakeholder satisfaction.",Async,T&M,Hour,Wellness_Coordinator,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-007-01-08,CAT-CO-007,CAT-CO-007,Sales Support & Proposal Services,"Prepare proposals, RFP responses, pricing quotes, and sales collateral; manage CRM data hygiene and pipeline administration. The primary frontline role is a Sales Support Specialist. Typical unit of output is a completed proposal or quote. SLAs focus on proposal turnaround time, quote accuracy, and CRM data quality scores.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-008-01-01,CAT-CO-008,CAT-CO-008,Advanced Tier 2/3 Technical Support,"Resolve complex technical issues that require deeper diagnostics, log analysis, or engineering-level troubleshooting beyond Tier 1. The primary frontline role is a Tier 2/3 Support Engineer. SLAs typically include resolution time, mean time to repair (MTTR), and defect recurrence rates.",Async,T&M,Hour,Digital_Support_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-008-01-02,CAT-CO-008,CAT-CO-008,Field Service Dispatch & Coordination,"Coordinate scheduling, dispatch, and logistics for field technicians; manage parts availability, appointment windows, and service completion tracking. The primary frontline role is a Field Service Dispatcher. Typical unit of output is a scheduled and completed field service visit. SLAs focus on dispatch-to-arrival time, first-visit fix rate, and appointment adherence.",Async,T&M,Hour,Service_Desk_Agent,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-008-01-03,CAT-CO-008,CAT-CO-008,IT Product Technical Support Services,"Provide technical troubleshooting and configuration support for products or internal tools, including ticket resolution and escalation to engineering when required. The primary frontline role is a Technical Support Specialist. SLAs include first response time, time-to-resolution, and escalation accuracy.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
ST-CO-008-01-04,CAT-CO-008,CAT-CO-008,Knowledge Base & Self-Service Content Operations,"Create, maintain, and govern support knowledge articles and self-service content to reduce contact volume and improve resolution rates. The primary frontline role is a Knowledge Management Specialist. SLAs include article freshness, deflection rate, and content accuracy.",Async,T&M,Hour,Cleared_AI_Specialist,Standard,,,,,,MEDIUM,UNKNOWN,,Standard,,,,,
