Alias_ID,User_Term,Service_Type_ID,Service_Type_Name,Confidence,Source,Usage_Count,Created_Date,Is_Active,Tower_Code
ALI-00242,common area,ST-FR-002-01-02,Common Area Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00243,common area management,ST-FR-002-01-02,Common Area Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00245,community,ST-CO-008-01-02,Community Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00247,community management,ST-CO-008-01-02,Community Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00271,contact center,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00282,content refresh,ST-COP-004-01-02,Content Refresh,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00287,contingent workforce,ST-HR-003-01-01,Contingent Workforce Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00288,contingent workforce management,ST-HR-003-01-01,Contingent Workforce Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00303,corporate income tax compliance,ST-FA-006-01-01,Corporate Income Tax Compliance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00326,custom application development,ST-IT-001-01-01,Custom Application Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00329,customer invoicing,ST-FA-002-01-01,Customer Invoicing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00332,customer onboarding,ST-CO-004-01-01,Customer Onboarding,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00333,customer service,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00334,customer support,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00335,customer support,ST-CO-008-01-01,Social Customer Service,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00336,customs brokerage,ST-SC-007-01-01,Customs Brokerage,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00337,cx,ST-CO-001-01-01,Tier 1 Voice Support,LOW,SEED,0,2025-01-01,TRUE,
ALI-00338,cx,ST-CO-008-01-01,Social Customer Service,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00342,daily cash positioning,ST-FA-005-01-01,Daily Cash Positioning,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00344,data center operations,ST-IT-002-01-01,Data Center Operations,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00348,data engineering,ST-IT-006-01-01,Data Engineering Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00349,data engineering services,ST-IT-006-01-01,Data Engineering Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00354,data pipeline maintenance,ST-AI-003-01-02,Data Pipeline Maintenance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00381,demand forecasting,ST-SC-006-01-02,Demand Forecasting,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00399,digital mailroom,ST-FR-006-01-03,Digital Mailroom,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00423,dpo data generation,ST-AI-002-01-03,DPO Data Generation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00427,e-commerce,ST-SC-009-01-01,Fulfillment Services,LOW,SEED,0,2025-01-01,TRUE,
ALI-00431,early-stage collections,ST-CO-006-01-01,Early-Stage Collections,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00439,edr,ST-IT-005-01-08,EDR Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00440,edr management,ST-IT-005-01-08,EDR Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00443,electrical systems,ST-FR-003-01-02,Electrical Systems,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00492,etl pipeline development,ST-AI-003-01-01,ETL Pipeline Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00509,export compliance,ST-SC-007-01-04,Export Compliance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00515,f&a,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00517,fao,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00518,faq development,ST-COP-001-01-02,FAQ Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00528,finance and accounting,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00534,financial statement preparation,ST-FA-004-01-02,Financial Statement Preparation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00544,fleet leasing,ST-SC-010-01-01,Fleet Leasing Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00545,fleet leasing services,ST-SC-010-01-01,Fleet Leasing Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00551,forecasting,ST-FA-008-01-02,Forecasting,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00558,freight audit & payment,ST-SC-005-01-02,Freight Audit & Payment,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00559,freight forwarding,ST-SC-003-01-01,Freight Forwarding,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00564,fta,ST-SC-007-01-03,FTA Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00565,fta management,ST-SC-007-01-03,FTA Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00569,fulfillment,ST-SC-009-01-01,Fulfillment Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00570,fulfillment services,ST-SC-009-01-01,Fulfillment Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00611,health claims,ST-HR-001-01-01,Medical Claims Adjudication,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00612,healthcare claims,ST-HR-001-01-01,Medical Claims Adjudication,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00615,high-value customers,ST-CO-001-01-03,Premium/VIP Support,LOW,SEED,0,2025-01-01,TRUE,
ALI-00617,hr advisory,ST-HR-002-01-01,HR Advisory Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00618,hr advisory services,ST-HR-002-01-01,HR Advisory Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00626,hs classification,ST-SC-007-01-02,HS Classification,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00628,human evaluation,ST-AI-004-01-01,Human Evaluation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00629,human translation,ST-COP-003-01-01,Human Translation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00630,hvac maintenance,ST-FR-003-01-01,HVAC Maintenance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00637,image bounding box annotation,ST-AI-001-01-01,Image Bounding Box Annotation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00640,image moderation,ST-COP-002-01-02,Image Moderation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00645,in-app messaging,ST-CO-007-01-03,In-App Messaging,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00648,inbound calls,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00649,incident,ST-IT-003-01-01,Incident Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00650,incident management,ST-IT-003-01-01,Incident Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00666,inquiry response,ST-CO-001-01-02,Inquiry Response,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00689,inventory planning,ST-SC-006-01-03,Inventory Planning,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00695,invoice,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00696,invoice management,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00697,invoice processing,ST-FA-001-01-01,Invoice Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00698,invoicing,ST-FA-001-01-01,Invoice Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00699,ios/android,ST-IT-001-01-02,Mobile Application Development,LOW,SEED,0,2025-01-01,TRUE,
ALI-00702,it help desk,ST-IT-002-01-01,Data Center Operations,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00703,it managed services,ST-IT-002-01-01,Data Center Operations,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00704,it outsourcing,ST-IT-001-01-01,Custom Application Development,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00705,it services,ST-IT-001-01-01,Custom Application Development,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00709,ito,ST-IT-001-01-01,Custom Application Development,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00710,janitorial,ST-FR-001-01-01,Janitorial Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00711,janitorial services,ST-FR-001-01-01,Janitorial Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00713,journal entry,ST-FA-003-01-01,Journal Entry Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00714,journal entry processing,ST-FA-003-01-01,Journal Entry Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00717,kb maintenance,ST-COP-004-01-01,KB Maintenance,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00727,kitting/assembly,ST-SC-004-01-04,Kitting/Assembly,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00729,knowledge base creation,ST-COP-001-01-01,Knowledge Base Creation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00752,lease,ST-FR-002-01-01,Lease Administration,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00754,lease administration,ST-FR-002-01-01,Lease Administration,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00775,live chat support,ST-CO-007-01-01,Live Chat Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00776,live stream moderation,ST-COP-002-01-04,Live Stream Moderation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00790,load planning,ST-SC-005-01-03,Load Planning,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00792,loyalty program support,ST-CO-004-01-02,Loyalty Program Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00793,ltl shipping,ST-SC-003-01-02,LTL Shipping,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00797,mailroom operations,ST-FR-006-01-01,Mailroom Operations,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00800,managed detection & response,ST-IT-005-01-05,Managed Detection & Response,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00801,managed services,ST-IT-002-01-01,Data Center Operations,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00805,managers on employee relations matters,ST-HR-002-01-01,HR Advisory Services,LOW,SEED,0,2025-01-01,TRUE,
ALI-00827,medical claims adjudication,ST-HR-001-01-01,Medical Claims Adjudication,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00865,mobile application development,ST-IT-001-01-02,Mobile Application Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00875,month-end close,ST-FA-004-01-01,Month-End Close Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00876,month-end close management,ST-FA-004-01-01,Month-End Close Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00879,move,ST-FR-007-01-02,Move Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00881,move management,ST-FR-007-01-02,Move Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00889,multi-cloud,ST-IT-004-01-04,Multi-Cloud Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00890,multi-cloud management,ST-IT-004-01-04,Multi-Cloud Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00905,network security operations,ST-IT-005-01-09,Network Security Operations,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00914,object detection,ST-AI-001-01-01,Image Bounding Box Annotation,LOW,SEED,0,2025-01-01,TRUE,
ALI-00922,onboarding/offboarding,ST-IT-003-01-07,Onboarding/Offboarding,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00927,order,ST-CO-002-01-01,Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00928,order,ST-CO-005-01-01,Order Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00929,order management,ST-CO-002-01-01,Order Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00930,order processing,ST-CO-002-01-01,Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00931,order processing,ST-CO-005-01-01,Order Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00932,order processing,ST-FA-007-01-02,Purchase Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00933,order to cash,ST-CO-002-01-01,Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00934,order to cash,ST-FA-007-01-02,Purchase Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00940,otc,ST-CO-002-01-01,Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00941,otc,ST-FA-007-01-02,Purchase Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00948,outsourcing,ST-CO-001-01-01,Tier 1 Voice Support,LOW,SEED,0,2025-01-01,TRUE,
ALI-00955,pallet storage,ST-SC-004-01-03,Pallet Storage,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00960,password reset,ST-IT-003-01-03,Password Reset Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00961,password reset services,ST-IT-003-01-03,Password Reset Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00970,payment,ST-FA-001-01-02,Payment Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-00971,payment processing,ST-FA-001-01-02,Payment Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00978,penetration testing,ST-IT-005-01-04,Penetration Testing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00991,pick and pack,ST-SC-004-01-01,Pick and Pack,HIGH,SEED,0,2025-01-01,TRUE,
ALI-00999,plumbing systems,ST-FR-003-01-03,Plumbing Systems,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01000,po,ST-SC-002-01-01,PO Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01002,po processing,ST-SC-002-01-01,PO Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01016,premium/vip support,ST-CO-001-01-03,Premium/VIP Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01026,product refurbishment,ST-SC-008-01-02,Product Refurbishment,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01046,proof of concept development,ST-IT-001-01-05,Proof of Concept Development,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01057,purchase order,ST-FA-007-01-02,Purchase Order Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01058,purchase order management,ST-FA-007-01-02,Purchase Order Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01059,purchase requisition,ST-FA-007-01-01,Purchase Requisition Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01060,purchase requisition processing,ST-FA-007-01-01,Purchase Requisition Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01073,receiving operations,ST-FR-006-01-04,Receiving Operations,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01074,receiving/put-away,ST-SC-004-01-02,Receiving/Put-Away,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01075,reception,ST-FR-001-01-02,Reception Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01077,reception services,ST-FR-001-01-02,Reception Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01081,recycling,ST-FR-008-01-02,Recycling Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01084,recycling management,ST-FR-008-01-02,Recycling Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01100,remote desktop support,ST-IT-003-01-04,Remote Desktop Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01110,response ranking,ST-AI-002-01-01,Response Ranking,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01112,returns,ST-CO-005-01-02,Returns Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01113,returns,ST-SC-008-01-01,Returns Processing,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01114,returns processing,ST-CO-005-01-02,Returns Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01115,returns processing,ST-SC-008-01-01,Returns Processing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01116,returns processing,ST-SC-011-01-01,Returns Processing Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01117,returns processing services,ST-SC-011-01-01,Returns Processing Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01119,review response,ST-CO-008-01-03,Review Response,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01129,rma,ST-SC-008-01-03,RMA Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01130,rma management,ST-SC-008-01-03,RMA Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01159,sec filing support,ST-FA-010-01-01,SEC Filing Support Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01160,sec filing support services,ST-FA-010-01-01,SEC Filing Support Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01162,security awareness training,ST-IT-005-01-06,Security Awareness Training,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01165,security incident response,ST-IT-005-01-02,Security Incident Response,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01166,security operations center,ST-IT-005-01-01,Security Operations Center,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01167,self-service portal,ST-IT-003-01-06,Self-Service Portal Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01168,self-service portal management,ST-IT-003-01-06,Self-Service Portal Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01169,semantic segmentation,ST-AI-001-01-02,Semantic Segmentation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01180,service desk,ST-IT-002-01-01,Data Center Operations,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01181,service request fulfillment,ST-IT-003-01-02,Service Request Fulfillment,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01182,sft data creation,ST-AI-002-01-02,SFT Data Creation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01183,shipping,ST-FR-006-01-02,Shipping Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01184,shipping services,ST-FR-006-01-02,Shipping Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01187,siem,ST-IT-005-01-07,SIEM Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01188,siem management,ST-IT-005-01-07,SIEM Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01189,siem platforms,ST-IT-005-01-07,SIEM Management,LOW,SEED,0,2025-01-01,TRUE,
ALI-01202,sms support,ST-CO-007-01-02,SMS Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01206,social customer,ST-CO-008-01-01,Social Customer Service,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01207,social customer service,ST-CO-008-01-01,Social Customer Service,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01215,software application support,ST-CO-003-01-02,Software Application Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01223,space planning,ST-FR-007-01-01,Space Planning,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01246,strategic sourcing,ST-SC-001-01-01,Strategic Sourcing,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01267,supplier qualification,ST-SC-001-01-03,Supplier Qualification,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01271,supply chain contract,ST-SC-001-01-04,Supply Chain Contract Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01272,supply chain contract management,ST-SC-001-01-04,Supply Chain Contract Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01281,sustainability reporting,ST-FR-008-01-01,Sustainability Reporting,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01287,t&s,ST-COP-002-01-01,UGC Text Review,LOW,SEED,0,2025-01-01,TRUE,
ALI-01293,tax provision,ST-FA-006-01-02,Tax Provision,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01296,tech support,ST-CO-003-01-01,Tier 1 Technical Support,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01299,technical feasibility validation,ST-IT-001-01-05,Proof of Concept Development,LOW,SEED,0,2025-01-01,TRUE,
ALI-01300,technical help desk,ST-IT-002-01-01,Data Center Operations,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01308,terminology,ST-COP-003-01-02,Terminology Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01309,terminology management,ST-COP-003-01-02,Terminology Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01317,tier 1 technical support,ST-CO-003-01-01,Tier 1 Technical Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01318,tier 1 voice support,ST-CO-001-01-01,Tier 1 Voice Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01326,tms managed,ST-SC-012-01-01,TMS Managed Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01327,tms managed services,ST-SC-012-01-01,TMS Managed Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01328,tms operations,ST-SC-005-01-01,TMS Operations,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01352,trust and safety,ST-COP-002-01-01,UGC Text Review,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01353,ugc text review,ST-COP-002-01-01,UGC Text Review,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01354,ui/ux design,ST-IT-001-01-04,UI/UX Design Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01355,ui/ux design services,ST-IT-001-01-04,UI/UX Design Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01357,unemployment claims,ST-HR-004-01-01,Unemployment Claims Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01358,unemployment claims management,ST-HR-004-01-01,Unemployment Claims Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01361,uniformed officers,ST-FR-004-01-01,Uniformed Officers,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01369,utility procurement,ST-FR-010-01-01,Utility Procurement Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01370,utility procurement services,ST-FR-010-01-01,Utility Procurement Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01383,vending,ST-FR-005-01-02,Vending Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01384,vending services,ST-FR-005-01-02,Vending Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01397,video moderation,ST-COP-002-01-03,Video Moderation,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01401,vip/executive support,ST-IT-003-01-05,VIP/Executive Support,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01407,vmi,ST-SC-006-01-01,VMI Services,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01408,vmi services,ST-SC-006-01-01,VMI Services,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01416,vulnerability,ST-IT-005-01-03,Vulnerability Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01417,vulnerability management,ST-IT-005-01-03,Vulnerability Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01420,warranty,ST-SC-008-01-04,Warranty Management,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01421,warranty management,ST-SC-008-01-04,Warranty Management,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01441,workers compensation,ST-HR-004-01-02,Workers Compensation Administration,MEDIUM,SEED,0,2025-01-01,TRUE,
ALI-01442,workers compensation administration,ST-HR-004-01-02,Workers Compensation Administration,HIGH,SEED,0,2025-01-01,TRUE,
ALI-01444,workplace strategy,ST-FR-009-01-01,Workplace Strategy Services,MEDIUM,SEED,0,2025-01-01,TRUE,
