Alias_ID,User_Term,Service_Type_ID,Service_Type_Name,Confidence
ALI-00064,apqp/ppap support,ST-MO-002-02-03,APQP/PPAP Support,HIGH
ALI-00065,ar,ST-FA-002-01-01,Customer Invoicing,LOW
ALI-00066,ar reporting & analytics,ST-FA-002-01-05,AR Reporting & Analytics,HIGH
ALI-00067,archive storage,ST-ME-006-03-01,Archive Storage Services,MEDIUM
ALI-00068,archive storage services,ST-ME-006-03-01,Archive Storage Services,HIGH
ALI-00069,asset inventory,ST-EN-005-02-01,Asset Inventory,HIGH
ALI-00070,asset recovery,ST-SC-008-02-01,Asset Recovery,HIGH
ALI-00071,asset recovery,ST-SC-011-03-01,Asset Recovery Services,MEDIUM
ALI-00072,asset recovery services,ST-SC-011-03-01,Asset Recovery Services,HIGH
ALI-00073,at-risk customers,ST-CO-004-02-02,Churn Prevention,LOW
ALI-00074,ats,ST-HR-009-04-01,ATS Administration,MEDIUM
ALI-00075,ats administration,ST-HR-009-04-01,ATS Administration,HIGH
ALI-00076,attribution & effectiveness,ST-ME-007-03-01,Attribution & Effectiveness Services,MEDIUM
ALI-00077,attribution & effectiveness services,ST-ME-007-03-01,Attribution & Effectiveness Services,HIGH
ALI-00078,audience measurement and engagement tracking,ST-ME-007-02-01,Digital Analytics Services,LOW
ALI-00079,audience research,ST-ME-007-04-01,Audience Research Services,MEDIUM
ALI-00080,audience research services,ST-ME-007-04-01,Audience Research Services,HIGH
ALI-00081,audio annotation,ST-AI-002-04-01,Audio Annotation Services,MEDIUM
ALI-00082,audio annotation services,ST-AI-002-04-01,Audio Annotation Services,HIGH
ALI-00083,audio production,ST-ME-001-03-01,Audio Production Services,MEDIUM
ALI-00084,audio production services,ST-ME-001-03-01,Audio Production Services,HIGH
ALI-00085,audio qc,ST-ME-006-01-03,Audio QC,HIGH
ALI-00086,audio transcription,ST-AI-001-04-01,Audio Transcription,HIGH
ALI-00087,audit analytics,ST-FA-004-02-06,Audit Analytics,HIGH
ALI-00088,automated technical qc,ST-ME-006-01-01,Automated Technical QC,HIGH
ALI-00089,automation engineering,ST-MO-008-03-01,Automation Engineering Services,MEDIUM
ALI-00090,automation engineering services,ST-MO-008-03-01,Automation Engineering Services,HIGH
ALI-00091,automation integration,ST-MO-005-04-01,Automation Integration Services,MEDIUM
ALI-00092,automation integration services,ST-MO-005-04-01,Automation Integration Services,HIGH
ALI-00093,autonomous systems,ST-AI-002-05-01,3D & LiDAR Annotation Services,LOW
ALI-00094,autonomous vehicle data,ST-AI-006-01-01,Autonomous Vehicle Data,HIGH
ALI-00095,b2b lead generation,ST-CO-002-02-01,B2B Lead Generation,HIGH
ALI-00096,b2b teams,ST-CO-002-02-02,Appointment Setting,LOW
ALI-00097,b2c telesales,ST-CO-002-02-03,B2C Telesales,HIGH
ALI-00098,background verification,ST-HR-006-05-01,Background Verification,HIGH
ALI-00099,backup and recovery,ST-IT-002-03-02,Backup and Recovery Services,MEDIUM
ALI-00100,backup and recovery services,ST-IT-002-03-02,Backup and Recovery Services,HIGH
ALI-00101,bank fee analysis,ST-FA-005-01-05,Bank Fee Analysis,HIGH
ALI-00102,bank reconciliation,ST-FA-003-01-03,Bank Reconciliation,HIGH
ALI-00103,bank relationship mgmt,ST-FA-008-03-01,Bank Relationship Mgmt Services,MEDIUM
ALI-00104,bank relationship mgmt services,ST-FA-008-03-01,Bank Relationship Mgmt Services,HIGH
ALI-00105,bas,ST-FR-003-02-01,BAS Management,MEDIUM
ALI-00106,bas management,ST-FR-003-02-01,BAS Management,HIGH
ALI-00107,battery storage o&m,ST-EN-004-03-01,Battery Storage O&M Services,MEDIUM
ALI-00108,battery storage o&m services,ST-EN-004-03-01,Battery Storage O&M Services,HIGH
ALI-00109,benefits administration,ST-HR-007-01-01,Open Enrollment Processing,MEDIUM
ALI-00110,benefits billing reconciliation,ST-HR-007-02-03,Benefits Billing Reconciliation,HIGH
ALI-00111,benefits call center,ST-HR-007-01-04,Benefits Call Center,HIGH
ALI-00112,benefits eligibility,ST-HR-007-01-02,Benefits Eligibility Management,MEDIUM
ALI-00113,benefits eligibility management,ST-HR-007-01-02,Benefits Eligibility Management,HIGH
ALI-00114,bias auditing,ST-AI-004-04-01,Bias Auditing,HIGH
ALI-00115,bilingual support,ST-CO-001-01-05,Bilingual Support,HIGH
ALI-00116,blog writing,ST-COP-001-03-01,Blog Writing,HIGH
ALI-00117,board advisory,ST-PS-010-04-01,Board Advisory Services,MEDIUM
ALI-00118,board advisory services,ST-PS-010-04-01,Board Advisory Services,HIGH
ALI-00119,box build assembly,ST-MO-001-02-04,Box Build Assembly,HIGH
ALI-00120,bpo,ST-CO-001-01-01,Tier 1 Voice Support,LOW
ALI-00121,brand identity,ST-PS-006-01-02,Brand Identity,HIGH
ALI-00122,brand strategy,ST-PS-002-01-03,Brand Strategy,HIGH
ALI-00123,brand strategy & identity,ST-PS-012-01-01,Brand Strategy & Identity Services,MEDIUM
ALI-00124,brand strategy & identity services,ST-PS-012-01-01,Brand Strategy & Identity Services,HIGH
ALI-00125,brand tracking,ST-PS-007-01-02,Brand Tracking,HIGH
ALI-00126,breakdown maintenance,ST-MO-003-01-03,Breakdown Maintenance,HIGH
ALI-00127,broadcast mastering,ST-ME-003-01-03,Broadcast Mastering,HIGH
ALI-00128,budget development,ST-FA-008-01-01,Budget Development,HIGH
ALI-00129,budgeting support,ST-FA-009-01-01,Budgeting Support Services,MEDIUM
ALI-00130,budgeting support services,ST-FA-009-01-01,Budgeting Support Services,HIGH
ALI-00131,build-to-order,ST-MO-001-01-02,Build-to-Order,HIGH
ALI-00132,building automation,ST-FR-010-03-01,Building Automation Services,MEDIUM
ALI-00133,building automation services,ST-FR-010-03-01,Building Automation Services,HIGH
ALI-00134,business case development,ST-FA-008-02-02,Business Case Development,HIGH
ALI-00135,business intelligence,ST-IT-006-02-01,Business Intelligence Services,MEDIUM
ALI-00136,business intelligence services,ST-IT-006-02-01,Business Intelligence Services,HIGH
ALI-00137,business process outsourcing,ST-CO-001-01-01,Tier 1 Voice Support,LOW
ALI-00138,c-suite coaching,ST-PS-010-01-01,C-Suite Coaching Services,MEDIUM
ALI-00139,c-suite coaching services,ST-PS-010-01-01,C-Suite Coaching Services,HIGH
ALI-00140,cad/cam,ST-PS-005-01-04,CAD/CAM Services,MEDIUM
ALI-00141,cad/cam services,ST-PS-005-01-04,CAD/CAM Services,HIGH
ALI-00142,cafe,ST-FR-005-01-01,Cafe Management,MEDIUM
ALI-00143,cafe management,ST-FR-005-01-01,Cafe Management,HIGH
ALI-00144,calculation,ST-ME-004-03-01,Royalty Administration Services,LOW
ALI-00145,call center,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM
ALI-00146,call center bpo,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM
ALI-00147,camera data wrangling,ST-ME-001-01-02,Camera Data Wrangling,HIGH
ALI-00148,campus recruiting,ST-HR-006-02-08,Campus Recruiting,HIGH
ALI-00149,candidate sourcing,ST-HR-006-02-02,Candidate Sourcing,HIGH
ALI-00150,capacity planning,ST-CO-008-03-01,Capacity Planning Services,MEDIUM
ALI-00151,capacity planning,ST-IT-002-02-06,Capacity Planning,HIGH
ALI-00152,capacity planning,ST-MO-008-04-01,Capacity Planning Services,MEDIUM
ALI-00153,capacity planning services,ST-CO-008-03-01,Capacity Planning Services,HIGH
ALI-00154,capacity planning services,ST-MO-008-04-01,Capacity Planning Services,HIGH
ALI-00155,capital planning,ST-FR-002-02-02,Capital Planning,HIGH
ALI-00156,capital projects,ST-FR-003-03-01,Capital Projects Services,MEDIUM
ALI-00157,capital projects services,ST-FR-003-03-01,Capital Projects Services,HIGH
ALI-00158,caption creation,ST-COP-003-04-03,Caption Creation,HIGH
ALI-00159,carbon & sustainability,ST-EN-008-04-01,Carbon & Sustainability Services,MEDIUM
ALI-00160,carbon & sustainability services,ST-EN-008-04-01,Carbon & Sustainability Services,HIGH
ALI-00161,carbon accounting & reporting,ST-PS-013-02-01,Carbon Accounting & Reporting Services,MEDIUM
ALI-00162,carbon accounting & reporting services,ST-PS-013-02-01,Carbon Accounting & Reporting Services,HIGH
ALI-00163,carrier,ST-SC-005-01-04,Carrier Management,MEDIUM
ALI-00164,carrier data integration,ST-HR-007-03-01,Carrier Data Integration,HIGH
ALI-00165,carrier management,ST-SC-005-01-04,Carrier Management,HIGH
ALI-00166,cash application,ST-FA-002-01-02,Cash Application,HIGH
ALI-00167,cash application,ST-FA-002-04-01,Cash Application Services,MEDIUM
ALI-00168,cash application services,ST-FA-002-04-01,Cash Application Services,HIGH
ALI-00169,cash forecasting,ST-FA-005-01-02,Cash Forecasting,HIGH
ALI-00170,catalog,ST-FA-007-01-04,Catalog Management,MEDIUM
ALI-00171,catalog,ST-SC-006-04-01,Catalog Management,MEDIUM
ALI-00172,catalog management,ST-FA-007-01-04,Catalog Management,HIGH
ALI-00173,catalog management,ST-SC-006-04-01,Catalog Management,HIGH
ALI-00174,category,ST-SC-001-01-02,Category Management,MEDIUM
ALI-00175,category management,ST-SC-001-01-02,Category Management,HIGH
ALI-00176,catering,ST-FR-007-03-01,Catering Services,MEDIUM
ALI-00177,catering services,ST-FR-007-03-01,Catering Services,HIGH
ALI-00178,cdisc standards,ST-CL-004-02-01,CDISC Standards,HIGH
ALI-00179,cdisc standards conversion,ST-CL-006-04-01,CDISC Standards Conversion Services,MEDIUM
ALI-00180,cdisc standards conversion services,ST-CL-006-04-01,CDISC Standards Conversion Services,HIGH
ALI-00181,central monitoring,ST-CL-003-01-01,Central Monitoring,HIGH
ALI-00182,certification,ST-MO-002-04-01,Certification Services,MEDIUM
ALI-00183,certification services,ST-MO-002-04-01,Certification Services,HIGH
ALI-00184,change,ST-PS-002-04-01,Change Management,MEDIUM
ALI-00185,change,ST-PS-004-01-03,Change Management,MEDIUM
ALI-00186,change management,ST-PS-002-04-01,Change Management,HIGH
ALI-00187,change management,ST-PS-004-01-03,Change Management,HIGH
ALI-00188,character animation,ST-ME-008-01-02,Character Animation,HIGH
ALI-00189,chart of accounts maintenance,ST-FA-003-01-06,Chart of Accounts Maintenance,HIGH
ALI-00190,chat/chatbot support,ST-IT-003-01-08,Chat/Chatbot Support,HIGH
ALI-00191,chatbot,ST-CO-007-01-04,Chatbot Management,MEDIUM
ALI-00192,chatbot management,ST-CO-007-01-04,Chatbot Management,HIGH
ALI-00193,churn prevention,ST-CO-004-02-02,Churn Prevention,HIGH
ALI-00194,claims,ST-CO-005-03-01,Claims Processing,MEDIUM
ALI-00195,claims processing,ST-CO-005-03-01,Claims Processing,HIGH
ALI-00196,claims processing,ST-CO-006-04-01,Claims Processing Services,MEDIUM
ALI-00197,claims processing services,ST-CO-006-04-01,Claims Processing Services,HIGH
ALI-00198,classification,ST-SC-008-03-01,Classification Services,MEDIUM
ALI-00199,classification services,ST-SC-008-03-01,Classification Services,HIGH
ALI-00200,clean room assembly,ST-MO-006-02-01,Clean Room Assembly,HIGH
ALI-00201,climate risk assessment,ST-PS-013-03-01,Climate Risk Assessment Services,MEDIUM
ALI-00202,climate risk assessment services,ST-PS-013-03-01,Climate Risk Assessment Services,HIGH
ALI-00203,climate-controlled storage,ST-SC-004-01-06,Climate-Controlled Storage,HIGH
ALI-00204,clinical data,ST-CL-006-02-01,Clinical Data Management,MEDIUM
ALI-00205,clinical data management,ST-CL-006-02-01,Clinical Data Management,HIGH
ALI-00206,clinical narratives,ST-CL-006-01-05,Clinical Narratives,HIGH
ALI-00207,clinical project,ST-CL-001-01-01,Clinical Project Management,MEDIUM
ALI-00208,clinical project management,ST-CL-001-01-01,Clinical Project Management,HIGH
ALI-00209,clinical study reports,ST-CL-006-01-04,Clinical Study Reports,HIGH
ALI-00210,clinical supplies,ST-CL-001-01-05,Clinical Supplies Management,MEDIUM
ALI-00211,clinical supplies management,ST-CL-001-01-05,Clinical Supplies Management,HIGH
ALI-00212,clm support,ST-PS-001-02-03,CLM Support,HIGH
ALI-00213,cloud architecture design,ST-IT-004-04-02,Cloud Architecture Design,HIGH
ALI-00214,cloud backup & recovery,ST-IT-004-01-03,Cloud Backup & Recovery,HIGH
ALI-00215,cloud cost optimization,ST-IT-004-01-02,Cloud Cost Optimization,HIGH
ALI-00216,cloud infrastructure,ST-IT-004-01-01,Cloud Infrastructure Management,MEDIUM
ALI-00217,cloud infrastructure management,ST-IT-004-01-01,Cloud Infrastructure Management,HIGH
ALI-00218,cloud migration,ST-IT-004-04-01,Cloud Migration Services,MEDIUM
ALI-00219,cloud migration services,ST-IT-004-04-01,Cloud Migration Services,HIGH
ALI-00220,cloud security posture,ST-IT-004-05-01,Cloud Security Posture Management,MEDIUM
ALI-00221,cloud security posture management,ST-IT-004-05-01,Cloud Security Posture Management,HIGH
ALI-00222,cmc regulatory,ST-CL-002-04-01,CMC Regulatory Services,MEDIUM
ALI-00223,cmc regulatory services,ST-CL-002-04-01,CMC Regulatory Services,HIGH
ALI-00224,cmm inspection,ST-MO-007-01-04,CMM Inspection,HIGH
ALI-00225,cnc/robotics maintenance,ST-MO-003-01-04,CNC/Robotics Maintenance,HIGH
ALI-00226,co-monitoring,ST-CL-003-01-05,Co-Monitoring,HIGH
ALI-00227,co-packing and retail display building,ST-SC-009-03-01,Contract Packaging Services,LOW
ALI-00228,cobra,ST-HR-007-02-01,COBRA Administration,MEDIUM
ALI-00229,cobra administration,ST-HR-007-02-01,COBRA Administration,HIGH
ALI-00230,code generation evaluation,ST-AI-002-01-04,Code Generation Evaluation,HIGH
ALI-00231,coffee,ST-FR-005-01-05,Coffee Services,MEDIUM
ALI-00232,coffee & beverage,ST-FR-007-04-01,Coffee & Beverage Services,MEDIUM
ALI-00233,coffee & beverage services,ST-FR-007-04-01,Coffee & Beverage Services,HIGH
ALI-00234,coffee services,ST-FR-005-01-05,Coffee Services,HIGH
ALI-00235,cold storage,ST-SC-004-03-01,Cold Storage Services,MEDIUM
ALI-00236,cold storage services,ST-SC-004-03-01,Cold Storage Services,HIGH
ALI-00237,collections,ST-FA-002-02-01,Collections Management,MEDIUM
ALI-00238,collections management,ST-FA-002-02-01,Collections Management,HIGH
ALI-00239,color grading,ST-ME-002-01-02,Color Grading,HIGH
ALI-00240,commercial contracts,ST-PS-004-04-01,Commercial Contracts Services,MEDIUM
ALI-00241,commercial contracts services,ST-PS-004-04-01,Commercial Contracts Services,HIGH
ALI-00242,common area,ST-FR-002-01-02,Common Area Management,MEDIUM
ALI-00243,common area management,ST-FR-002-01-02,Common Area Management,HIGH
ALI-00244,communications,ST-HR-007-01-01,Open Enrollment Processing,LOW
ALI-00245,community,ST-CO-008-01-02,Community Management,MEDIUM
ALI-00246,community,ST-COP-002-01-05,Community Management,MEDIUM
ALI-00247,community management,ST-CO-008-01-02,Community Management,HIGH
ALI-00248,community management,ST-COP-002-01-05,Community Management,HIGH
ALI-00249,compensation benchmarking,ST-HR-002-03-01,Compensation Benchmarking,HIGH
ALI-00250,competitive intelligence,ST-PS-007-01-04,Competitive Intelligence,HIGH
ALI-00251,competitive intelligence,ST-PS-009-03-01,Competitive Intelligence Services,MEDIUM
ALI-00252,competitive intelligence services,ST-PS-009-03-01,Competitive Intelligence Services,HIGH
ALI-00253,complaint resolution,ST-CO-001-03-01,Complaint Resolution,HIGH
ALI-00254,compliance & audit support,ST-IT-005-03-01,Compliance & Audit Support,HIGH
ALI-00255,compliance editing,ST-ME-006-01-05,Compliance Editing,HIGH
ALI-00256,compliance training,ST-HR-008-04-01,Compliance Training Administration,MEDIUM
ALI-00257,compliance training administration,ST-HR-008-04-01,Compliance Training Administration,HIGH
ALI-00258,compression,ST-EN-006-03-01,Compression Services,MEDIUM
ALI-00259,compression services,ST-EN-006-03-01,Compression Services,HIGH
ALI-00260,conference,ST-FR-008-03-01,Conference Services,MEDIUM
ALI-00261,conference services,ST-FR-008-03-01,Conference Services,HIGH
ALI-00262,configuration,ST-IT-002-02-05,Configuration Management,MEDIUM
ALI-00263,configuration management,ST-IT-002-02-05,Configuration Management,HIGH
ALI-00264,configure-to-order,ST-MO-006-01-04,Configure-to-Order,HIGH
ALI-00265,consignment programs,ST-SC-007-04-01,Consignment Programs Services,MEDIUM
ALI-00266,consignment programs services,ST-SC-007-04-01,Consignment Programs Services,HIGH
ALI-00267,constitutional ai feedback,ST-AI-002-02-01,Constitutional AI Feedback,HIGH
ALI-00268,consumer products co-manufacturing,ST-MO-001-03-01,Consumer Products Co-Manufacturing Services,MEDIUM
ALI-00269,consumer products co-manufacturing services,ST-MO-001-03-01,Consumer Products Co-Manufacturing Services,HIGH
ALI-00270,consumer research,ST-PS-007-01-01,Consumer Research,HIGH
ALI-00271,contact center,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM
ALI-00272,contact center technology,ST-IT-008-04-01,Contact Center Technology Services,MEDIUM
ALI-00273,contact center technology services,ST-IT-008-04-01,Contact Center Technology Services,HIGH
ALI-00274,content,ST-HR-008-01-01,LMS Administration,LOW
ALI-00275,content aggregation,ST-COP-004-03-01,Content Aggregation,HIGH
ALI-00276,content archival,ST-COP-004-05-01,Content Archival,HIGH
ALI-00277,content cataloging,ST-ME-007-01-05,Content Cataloging,HIGH
ALI-00278,content governance,ST-COP-004-04-01,Content Governance,HIGH
ALI-00279,content marketing,ST-PS-002-02-04,Content Marketing,HIGH
ALI-00280,content migration,ST-COP-004-02-01,Content Migration,HIGH
ALI-00281,content moderation decisions and account actions,ST-ME-008-04-01,Appeals & Escalation Services,LOW
ALI-00282,content refresh,ST-COP-004-01-02,Content Refresh,HIGH
ALI-00283,content restoration,ST-ME-006-04-01,Content Restoration Services,MEDIUM
ALI-00284,content restoration services,ST-ME-006-04-01,Content Restoration Services,HIGH
ALI-00285,content safety moderation,ST-AI-004-04-02,Content Safety Moderation,HIGH
ALI-00286,content tagging,ST-COP-004-03-03,Content Tagging,HIGH
ALI-00287,contingent workforce,ST-HR-003-01-01,Contingent Workforce Management,MEDIUM
ALI-00288,contingent workforce management,ST-HR-003-01-01,Contingent Workforce Management,HIGH
ALI-00289,contract,ST-FA-007-02-01,Contract Management,MEDIUM
ALI-00290,contract filling,ST-MO-008-01-03,Contract Filling,HIGH
ALI-00291,contract management,ST-FA-007-02-01,Contract Management,HIGH
ALI-00292,contract packaging,ST-SC-009-03-01,Contract Packaging Services,MEDIUM
ALI-00293,contract packaging services,ST-SC-009-03-01,Contract Packaging Services,HIGH
ALI-00294,contract review,ST-PS-001-02-02,Contract Review,HIGH
ALI-00295,contribution/distribution,ST-ME-002-04-01,Contribution/Distribution Services,MEDIUM
ALI-00296,contribution/distribution services,ST-ME-002-04-01,Contribution/Distribution Services,HIGH
ALI-00297,control center operations,ST-EN-002-01-01,Control Center Operations,HIGH
ALI-00298,control tower,ST-SC-006-02-01,Control Tower Services,MEDIUM
ALI-00299,control tower,ST-SC-012-04-01,Control Tower Services,MEDIUM
ALI-00300,control tower services,ST-SC-006-02-01,Control Tower Services,HIGH
ALI-00301,control tower services,ST-SC-012-04-01,Control Tower Services,HIGH
ALI-00302,copy editing,ST-COP-005-01-02,Copy Editing,HIGH
ALI-00303,corporate income tax compliance,ST-FA-006-01-01,Corporate Income Tax Compliance,HIGH
ALI-00304,corporate strategy consulting,ST-PS-003-01-01,Corporate Strategy Consulting,HIGH
ALI-00305,corrective maintenance,ST-IT-001-02-02,Corrective Maintenance,HIGH
ALI-00306,cost transformation,ST-PS-004-01-04,Cost Transformation,HIGH
ALI-00307,creative campaign development,ST-PS-002-01-04,Creative Campaign Development,HIGH
ALI-00308,credit,ST-FA-002-02-02,Credit Management,MEDIUM
ALI-00309,credit,ST-FA-002-03-01,Credit Management,MEDIUM
ALI-00310,credit management,ST-FA-002-02-02,Credit Management,HIGH
ALI-00311,credit management,ST-FA-002-03-01,Credit Management,HIGH
ALI-00312,credits & incentives,ST-FA-005-04-01,Credits & Incentives Services,MEDIUM
ALI-00313,credits & incentives services,ST-FA-005-04-01,Credits & Incentives Services,HIGH
ALI-00314,crew staffing,ST-ME-001-04-01,Production Services,LOW
ALI-00315,criminal,ST-HR-006-05-01,Background Verification,LOW
ALI-00316,crisis communications,ST-PS-008-02-01,Crisis Communications Services,MEDIUM
ALI-00317,crisis communications services,ST-PS-008-02-01,Crisis Communications Services,HIGH
ALI-00318,critical date,ST-FR-002-03-01,Critical Date Management,MEDIUM
ALI-00319,critical date management,ST-FR-002-03-01,Critical Date Management,HIGH
ALI-00320,cross-docking,ST-SC-004-01-05,Cross-Docking,HIGH
ALI-00321,csam detection,ST-COP-002-04-01,CSAM Detection,HIGH
ALI-00322,ctd module writing,ST-CL-006-01-06,CTD Module Writing,HIGH
ALI-00323,cultural integration and productivity,ST-HR-008-03-01,New Hire Orientation,LOW
ALI-00324,cultural validation,ST-COP-005-03-01,Cultural Validation,HIGH
ALI-00325,current and former employees,ST-HR-009-01-04,Employment Verification,LOW
ALI-00326,custom application development,ST-IT-001-01-01,Custom Application Development,HIGH
ALI-00327,custom research,ST-PS-009-02-01,Custom Research Services,MEDIUM
ALI-00328,custom research services,ST-PS-009-02-01,Custom Research Services,HIGH
ALI-00329,customer invoicing,ST-FA-002-01-01,Customer Invoicing,HIGH
ALI-00330,customer master data,ST-FA-002-01-04,Customer Master Data Management,MEDIUM
ALI-00331,customer master data management,ST-FA-002-01-04,Customer Master Data Management,HIGH
ALI-00332,customer onboarding,ST-CO-004-01-01,Customer Onboarding,HIGH
ALI-00333,customer service,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM
ALI-00334,customer support,ST-CO-001-01-01,Tier 1 Voice Support,MEDIUM
ALI-00335,customer support,ST-CO-008-01-01,Social Customer Service,MEDIUM
ALI-00336,customs brokerage,ST-SC-007-01-01,Customs Brokerage,HIGH
ALI-00337,cx,ST-CO-001-01-01,Tier 1 Voice Support,LOW
ALI-00338,cx,ST-CO-008-01-01,Social Customer Service,MEDIUM
ALI-00339,cx research,ST-PS-007-02-01,CX Research,HIGH
ALI-00340,dailies,ST-ME-001-01-01,Dailies Processing,MEDIUM
ALI-00341,dailies processing,ST-ME-001-01-01,Dailies Processing,HIGH
ALI-00342,daily cash positioning,ST-FA-005-01-01,Daily Cash Positioning,HIGH
ALI-00343,data archival & purging,ST-IT-002-05-08,Data Archival & Purging,HIGH
ALI-00344,data center operations,ST-IT-002-01-01,Data Center Operations,HIGH
ALI-00345,data connectivity,ST-IT-008-02-01,Data Connectivity Services,MEDIUM
ALI-00346,data connectivity services,ST-IT-008-02-01,Data Connectivity Services,HIGH
