Rate_ID,Tower_Code,Agent_Type,Tier,Location_Code,Rate_Low_USD,Rate_High_USD,Rate_Median_USD,Currency_Local,Rate_Low_Local,Rate_High_Local,Rate_Unit,Pricing_Model,Effective_Date,Source,Confidence,Last_Updated
RATE-CO-CSA-T1-US-OMA,CO,Customer_Service_Agent,T1,US-OMA,25.0,35.0,30.0,USD,25.0,35.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-IN-BLR,CO,Customer_Service_Agent,T2,IN-BLR,10.0,14.0,12.0,INR,10.0,14.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-IN-HYD,CO,Customer_Service_Agent,T2,IN-HYD,10.0,14.0,12.0,INR,10.0,14.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-PH-MNL,CO,Customer_Service_Agent,T2,PH-MNL,12.0,16.0,14.0,PHP,12.0,16.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-PH-CEB,CO,Customer_Service_Agent,T2,PH-CEB,12.0,16.0,14.0,PHP,12.0,16.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-CO-BOG,CO,Customer_Service_Agent,T2,CO-BOG,16.0,20.0,18.0,COP,16.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-MX-MEX,CO,Customer_Service_Agent,T2,MX-MEX,16.0,20.0,18.0,MXN,16.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-CSA-T2-US-PHX,CO,Customer_Service_Agent,T2,US-PHX,35.0,45.0,40.0,USD,35.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-IN-BLR,CO,Technical_Support_Agent,T1,IN-BLR,8.0,12.0,10.0,INR,8.0,12.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-IN-HYD,CO,Technical_Support_Agent,T1,IN-HYD,8.0,12.0,10.0,INR,8.0,12.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-PH-MNL,CO,Technical_Support_Agent,T1,PH-MNL,10.0,14.0,12.0,PHP,10.0,14.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-PH-CEB,CO,Technical_Support_Agent,T1,PH-CEB,10.0,14.0,12.0,PHP,10.0,14.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-CO-BOG,CO,Technical_Support_Agent,T1,CO-BOG,14.0,18.0,16.0,COP,14.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-MX-MEX,CO,Technical_Support_Agent,T1,MX-MEX,14.0,18.0,16.0,MXN,14.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T1-US-PHX,CO,Technical_Support_Agent,T1,US-PHX,30.0,40.0,35.0,USD,30.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-IN-BLR,CO,Technical_Support_Agent,T2,IN-BLR,12.0,18.0,15.0,INR,12.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-IN-HYD,CO,Technical_Support_Agent,T2,IN-HYD,12.0,18.0,15.0,INR,12.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-PH-MNL,CO,Technical_Support_Agent,T2,PH-MNL,14.0,20.0,17.0,PHP,14.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-PH-CEB,CO,Technical_Support_Agent,T2,PH-CEB,14.0,20.0,17.0,PHP,14.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-CO-BOG,CO,Technical_Support_Agent,T2,CO-BOG,18.0,24.0,21.0,COP,18.0,24.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-MX-MEX,CO,Technical_Support_Agent,T2,MX-MEX,18.0,24.0,21.0,MXN,18.0,24.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T2-US-PHX,CO,Technical_Support_Agent,T2,US-PHX,40.0,55.0,47.5,USD,40.0,55.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-IN-BLR,CO,Technical_Support_Agent,T3,IN-BLR,18.0,25.0,21.5,INR,18.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-IN-HYD,CO,Technical_Support_Agent,T3,IN-HYD,18.0,25.0,21.5,INR,18.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-PH-MNL,CO,Technical_Support_Agent,T3,PH-MNL,20.0,28.0,24.0,PHP,20.0,28.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-PH-CEB,CO,Technical_Support_Agent,T3,PH-CEB,20.0,28.0,24.0,PHP,20.0,28.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-CO-BOG,CO,Technical_Support_Agent,T3,CO-BOG,24.0,32.0,28.0,COP,24.0,32.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-MX-MEX,CO,Technical_Support_Agent,T3,MX-MEX,24.0,32.0,28.0,MXN,24.0,32.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-TSA-T3-US-PHX,CO,Technical_Support_Agent,T3,US-PHX,55.0,75.0,65.0,USD,55.0,75.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-IN-BLR,CO,Collections_Agent,T1,IN-BLR,7.0,11.0,9.0,INR,7.0,11.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-IN-HYD,CO,Collections_Agent,T1,IN-HYD,7.0,11.0,9.0,INR,7.0,11.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-PH-MNL,CO,Collections_Agent,T1,PH-MNL,9.0,13.0,11.0,PHP,9.0,13.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-PH-CEB,CO,Collections_Agent,T1,PH-CEB,9.0,13.0,11.0,PHP,9.0,13.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-CO-BOG,CO,Collections_Agent,T1,CO-BOG,13.0,17.0,15.0,COP,13.0,17.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-MX-MEX,CO,Collections_Agent,T1,MX-MEX,13.0,17.0,15.0,MXN,13.0,17.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-COL-T1-US-PHX,CO,Collections_Agent,T1,US-PHX,28.0,38.0,33.0,USD,28.0,38.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-IN-BLR,CO,Back_Office_Agent,T1,IN-BLR,5.0,9.0,7.0,INR,5.0,9.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-IN-HYD,CO,Back_Office_Agent,T1,IN-HYD,5.0,9.0,7.0,INR,5.0,9.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-PH-MNL,CO,Back_Office_Agent,T1,PH-MNL,7.0,11.0,9.0,PHP,7.0,11.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-PH-CEB,CO,Back_Office_Agent,T1,PH-CEB,7.0,11.0,9.0,PHP,7.0,11.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-CO-BOG,CO,Back_Office_Agent,T1,CO-BOG,11.0,15.0,13.0,COP,11.0,15.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-MX-MEX,CO,Back_Office_Agent,T1,MX-MEX,11.0,15.0,13.0,MXN,11.0,15.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-CO-BOA-T1-US-PHX,CO,Back_Office_Agent,T1,US-PHX,22.0,32.0,27.0,USD,22.0,32.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-IN-BLR,IT,Help_Desk_Agent,T1,IN-BLR,6.0,10.0,8.0,INR,6.0,10.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-IN-HYD,IT,Help_Desk_Agent,T1,IN-HYD,6.0,10.0,8.0,INR,6.0,10.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-PH-MNL,IT,Help_Desk_Agent,T1,PH-MNL,5.0,9.0,7.0,PHP,5.0,9.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-PH-CEB,IT,Help_Desk_Agent,T1,PH-CEB,5.0,9.0,7.0,PHP,5.0,9.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-PL-WAW,IT,Help_Desk_Agent,T1,PL-WAW,12.0,18.0,15.0,PLN,12.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-RO-BUC,IT,Help_Desk_Agent,T1,RO-BUC,12.0,18.0,15.0,RON,12.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-MX-MEX,IT,Help_Desk_Agent,T1,MX-MEX,10.0,15.0,12.5,MXN,10.0,15.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T1-US-PHX,IT,Help_Desk_Agent,T1,US-PHX,20.0,30.0,25.0,USD,20.0,30.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-IN-BLR,IT,Help_Desk_Agent,T2,IN-BLR,10.0,15.0,12.5,INR,10.0,15.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-IN-HYD,IT,Help_Desk_Agent,T2,IN-HYD,10.0,15.0,12.5,INR,10.0,15.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-PH-MNL,IT,Help_Desk_Agent,T2,PH-MNL,8.0,14.0,11.0,PHP,8.0,14.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-PH-CEB,IT,Help_Desk_Agent,T2,PH-CEB,8.0,14.0,11.0,PHP,8.0,14.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-PL-WAW,IT,Help_Desk_Agent,T2,PL-WAW,18.0,28.0,23.0,PLN,18.0,28.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-RO-BUC,IT,Help_Desk_Agent,T2,RO-BUC,18.0,28.0,23.0,RON,18.0,28.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-MX-MEX,IT,Help_Desk_Agent,T2,MX-MEX,15.0,22.0,18.5,MXN,15.0,22.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T2-US-PHX,IT,Help_Desk_Agent,T2,US-PHX,30.0,45.0,37.5,USD,30.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-IN-BLR,IT,Help_Desk_Agent,T3,IN-BLR,15.0,25.0,20.0,INR,15.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-IN-HYD,IT,Help_Desk_Agent,T3,IN-HYD,15.0,25.0,20.0,INR,15.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-PH-MNL,IT,Help_Desk_Agent,T3,PH-MNL,12.0,20.0,16.0,PHP,12.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-PH-CEB,IT,Help_Desk_Agent,T3,PH-CEB,12.0,20.0,16.0,PHP,12.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-PL-WAW,IT,Help_Desk_Agent,T3,PL-WAW,25.0,40.0,32.5,PLN,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-RO-BUC,IT,Help_Desk_Agent,T3,RO-BUC,25.0,40.0,32.5,RON,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-MX-MEX,IT,Help_Desk_Agent,T3,MX-MEX,20.0,32.0,26.0,MXN,20.0,32.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-HDA-T3-US-PHX,IT,Help_Desk_Agent,T3,US-PHX,40.0,60.0,50.0,USD,40.0,60.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-IN-BLR,IT,Developer,Junior,IN-BLR,15.0,25.0,20.0,INR,15.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-IN-HYD,IT,Developer,Junior,IN-HYD,15.0,25.0,20.0,INR,15.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-PH-MNL,IT,Developer,Junior,PH-MNL,10.0,20.0,15.0,PHP,10.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-PL-WAW,IT,Developer,Junior,PL-WAW,30.0,40.0,35.0,PLN,30.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-RO-BUC,IT,Developer,Junior,RO-BUC,30.0,40.0,35.0,RON,30.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-MX-MEX,IT,Developer,Junior,MX-MEX,25.0,45.0,35.0,MXN,25.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-JR-US-PHX,IT,Developer,Junior,US-PHX,50.0,80.0,65.0,USD,50.0,80.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-IN-BLR,IT,Developer,Mid,IN-BLR,25.0,40.0,32.5,INR,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-IN-HYD,IT,Developer,Mid,IN-HYD,25.0,40.0,32.5,INR,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-PH-MNL,IT,Developer,Mid,PH-MNL,18.0,35.0,26.5,PHP,18.0,35.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-PL-WAW,IT,Developer,Mid,PL-WAW,40.0,57.0,48.5,PLN,40.0,57.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-RO-BUC,IT,Developer,Mid,RO-BUC,40.0,57.0,48.5,RON,40.0,57.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-MX-MEX,IT,Developer,Mid,MX-MEX,35.0,60.0,47.5,MXN,35.0,60.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-MID-US-PHX,IT,Developer,Mid,US-PHX,80.0,120.0,100.0,USD,80.0,120.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-IN-BLR,IT,Developer,Senior,IN-BLR,40.0,60.0,50.0,INR,40.0,60.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-IN-HYD,IT,Developer,Senior,IN-HYD,40.0,60.0,50.0,INR,40.0,60.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-PH-MNL,IT,Developer,Senior,PH-MNL,25.0,50.0,37.5,PHP,25.0,50.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-PL-WAW,IT,Developer,Senior,PL-WAW,50.0,80.0,65.0,PLN,50.0,80.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-RO-BUC,IT,Developer,Senior,RO-BUC,50.0,80.0,65.0,RON,50.0,80.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-MX-MEX,IT,Developer,Senior,MX-MEX,45.0,80.0,62.5,MXN,45.0,80.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-DEV-SR-US-PHX,IT,Developer,Senior,US-PHX,120.0,180.0,150.0,USD,120.0,180.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L2-IN-BLR,IT,Cloud_Engineer,L2,IN-BLR,25.0,45.0,35.0,INR,25.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L2-IN-HYD,IT,Cloud_Engineer,L2,IN-HYD,25.0,45.0,35.0,INR,25.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L2-PH-MNL,IT,Cloud_Engineer,L2,PH-MNL,20.0,40.0,30.0,PHP,20.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L2-PL-WAW,IT,Cloud_Engineer,L2,PL-WAW,40.0,65.0,52.5,PLN,40.0,65.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L2-MX-MEX,IT,Cloud_Engineer,L2,MX-MEX,35.0,55.0,45.0,MXN,35.0,55.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L2-US-PHX,IT,Cloud_Engineer,L2,US-PHX,80.0,130.0,105.0,USD,80.0,130.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L3-IN-BLR,IT,Cloud_Engineer,L3,IN-BLR,40.0,65.0,52.5,INR,40.0,65.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L3-IN-HYD,IT,Cloud_Engineer,L3,IN-HYD,40.0,65.0,52.5,INR,40.0,65.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L3-PH-MNL,IT,Cloud_Engineer,L3,PH-MNL,35.0,55.0,45.0,PHP,35.0,55.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L3-PL-WAW,IT,Cloud_Engineer,L3,PL-WAW,55.0,90.0,72.5,PLN,55.0,90.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L3-MX-MEX,IT,Cloud_Engineer,L3,MX-MEX,50.0,75.0,62.5,MXN,50.0,75.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-CLD-L3-US-PHX,IT,Cloud_Engineer,L3,US-PHX,110.0,170.0,140.0,USD,110.0,170.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T1-IN-BLR,IT,SOC_Analyst,T1,IN-BLR,12.0,20.0,16.0,INR,12.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T1-IN-HYD,IT,SOC_Analyst,T1,IN-HYD,12.0,20.0,16.0,INR,12.0,20.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T1-PH-MNL,IT,SOC_Analyst,T1,PH-MNL,10.0,18.0,14.0,PHP,10.0,18.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T1-PL-WAW,IT,SOC_Analyst,T1,PL-WAW,25.0,40.0,32.5,PLN,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T1-MX-MEX,IT,SOC_Analyst,T1,MX-MEX,20.0,35.0,27.5,MXN,20.0,35.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T1-US-PHX,IT,SOC_Analyst,T1,US-PHX,28.0,45.0,36.5,USD,28.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T2-IN-BLR,IT,SOC_Analyst,T2,IN-BLR,18.0,30.0,24.0,INR,18.0,30.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T2-IN-HYD,IT,SOC_Analyst,T2,IN-HYD,18.0,30.0,24.0,INR,18.0,30.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T2-PH-MNL,IT,SOC_Analyst,T2,PH-MNL,15.0,25.0,20.0,PHP,15.0,25.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T2-PL-WAW,IT,SOC_Analyst,T2,PL-WAW,35.0,55.0,45.0,PLN,35.0,55.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T2-MX-MEX,IT,SOC_Analyst,T2,MX-MEX,28.0,45.0,36.5,MXN,28.0,45.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T2-US-PHX,IT,SOC_Analyst,T2,US-PHX,40.0,60.0,50.0,USD,40.0,60.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T3-IN-BLR,IT,SOC_Analyst,T3,IN-BLR,25.0,40.0,32.5,INR,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T3-IN-HYD,IT,SOC_Analyst,T3,IN-HYD,25.0,40.0,32.5,INR,25.0,40.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T3-PH-MNL,IT,SOC_Analyst,T3,PH-MNL,20.0,35.0,27.5,PHP,20.0,35.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T3-PL-WAW,IT,SOC_Analyst,T3,PL-WAW,45.0,70.0,57.5,PLN,45.0,70.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T3-MX-MEX,IT,SOC_Analyst,T3,MX-MEX,35.0,55.0,45.0,MXN,35.0,55.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-IT-SOC-T3-US-PHX,IT,SOC_Analyst,T3,US-PHX,50.0,75.0,62.5,USD,50.0,75.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research,HIGH,2025-01-03
RATE-HR-BEN-STD-GLOBAL,HR,Benefits_Administration,Standard,GLOBAL,20.0,50.0,35.0,USD,20.0,50.0,Per_Hour,T&M,2025-01-01,FD6 Validated Research - PEPM,HIGH,2025-01-03
