vendorId,vendorName,primaryTower,secondaryTowers,hqCountry,ownership,revenueUsd,employeeCount,deliveryCenterCount,deliveryLocations,certifications,keyClients,serviceCapabilities,competitivePosition,strengths,weaknesses,redFlags,pricingModel,financialHealthScore,batch
VND-0018,Remote,HR,,USA,Independent,$400M,2000.0,1.0,,"ISO 27001, SOC 2","GitLab, Loom, DoorDash",Payroll Processing,NelsonHall EOR Evaluated,"EOR, owns all legal entities (no third parties)",Limited scale for large enterprise engagements,,"FTE-based, PEPM, Transaction-based",C,
VND-0019,Papaya Global,HR,,USA,Independent,$300M,1500.0,1.0,,"ISO 27001, SOC 2","Microsoft, Toyota, Vimeo",Payroll Processing,Everest MCP Major Contender,"Global payroll, EOR, crypto payments",Limited scale for large enterprise engagements,,"FTE-based, PEPM, Transaction-based",C,
VND-0020,Randstad,HR,CL,Netherlands,Independent,$25430M,46000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 9001, ISO 27001",Global Fortune 500,"Payroll Processing, MSP",Everest MSP Leader (12th year); SIA Global Staffing #1,"Temp staffing, RPO, MSP, TalentRadar",,,"FTE-based, PEPM, Transaction-based",A,
VND-0021,Cielo,HR,,USA,Independent,$600M,4000.0,1.0,,SOC 2,Fortune 500 talent acquisition,Payroll Processing,Everest RPO Leader; NelsonHall Leader,"RPO, talent acquisition, WilsonHCG merged",,,"FTE-based, PEPM, Transaction-based",B,
VND-0022,Korn Ferry,HR,CL,USA,Independent,$2709M,11000.0,4.0,"NA, EMEA, APAC, LATAM","SOC 2, ISO 27001",97% of Fortune 100,"Payroll Processing, MSP",Hunt Scanlon #1 Exec Search; Everest RPO Leader,"Executive search, leadership development, RPO",,,"FTE-based, PEPM, Transaction-based",A,
VND-0023,Allegis Group,HR,,USA,Independent,$12150M,18000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 9001, SOC 2","Fortune 500, tech leaders",MSP,Everest MSP Leader & Star Performer (10+ years); SIA Global #4,"TEKsystems IT staffing, Aerotek industrial, AGS MSP",,,"Markup-based, MSP Fee, Program Fee",A,
VND-0024,ManpowerGroup,HR,,USA,Independent,$18910M,27000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 9001, ISO 27001",80% of Fortune 500,MSP,Everest MSP Leader (11th year); SIA Global #3,"TAPFIN MSP, Experis IT, Talent Solutions",,,"Markup-based, MSP Fee, Program Fee",A,
VND-0025,Adecco Group,HR,,Switzerland,Independent,$20330M,34000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 9001, ISO 27001",Global enterprises,MSP,SIA Global Staffing #2; Pontoon MSP Leader,"Temp staffing, LHH career transition, Akkodis IT",,,"Markup-based, MSP Fee, Program Fee",A,
VND-0026,Kelly Services,HR,,USA,Independent,$4800M,7500.0,1.0,,ISO 9001,"Fortune 500, tech/engineering",MSP,Everest MSP Leader; SIA IT Staffing (jumped 16 spots),"KellyOCG MSP, professional staffing, Helix UX",Integration uncertainty from recent M&A,,"Markup-based, MSP Fee, Program Fee",B,
VND-0027,Hays,HR,,UK,Independent,$9570M,13500.0,4.0,"NA, EMEA, APAC, LATAM","ISO 9001, ISO 27001",Global enterprises,MSP,Everest MSP Leader; SIA Global #6,"Professional/specialist staffing, IT, finance, engineering",,,"Markup-based, MSP Fee, Program Fee",A,
VND-0028,Robert Half,HR,,USA,Independent,$6390M,16000.0,4.0,"NA, EMEA, APAC, LATAM",SOC 2,"Fortune 500, SMB",MSP,SIA F&A Staffing Leader; SIA Global #7,"Finance & accounting, Protiviti consulting",,,"Markup-based, MSP Fee, Program Fee",A,
VND-0029,Beeline,HR,,USA,Stone Point Capital,$500M,1200.0,1.0,,"ISO 27001, SOC 2",Fortune 500 VMS clients,MSP,Everest VMS Leader & Star Performer (4th year); Ardent #1,"VMS, direct sourcing, SOW, $68B+ spend managed",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0030,Magnit,HR,,USA,EQT Partners,$800M,2500.0,1.0,,"ISO 27001, SOC 2",Fortune 500 enterprises,MSP,Everest VMS Leader (#1 Vision); SIA MSP Leader,"Integrated VMS+MSP, Wand platform",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0031,Insight Global,HR,,USA,Independent,$3700M,11000.0,1.0,,SOC 2,Fortune 500 IT,MSP,SIA IT Staffing #2 ($3.1B US),"IT staffing, accounting, finance, healthcare",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0032,Russell Reynolds,HR,,USA,Independent,$1120M,1500.0,1.0,,ISO 27001,Fortune 500 C-suite,MSP,Hunt Scanlon #2 Global Exec Search,"Board-level, C-suite succession",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0033,Heidrick & Struggles,HR,,USA,Independent,$1099M,1800.0,1.0,,ISO 27001,Fortune 500 executives,MSP,Hunt Scanlon #3 Global Exec Search,"Executive search, leadership consulting",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0034,Spencer Stuart,HR,,USA,Independent,$1032M,1500.0,1.0,,ISO 27001,Fortune 500 boards,MSP,Hunt Scanlon #4 Global Exec Search,"Board/CEO succession, private partnership model",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0035,Egon Zehnder,HR,,Switzerland,Independent,$904M,700.0,2.0,"NA, EMEA",ISO 27001,Fortune 500 leadership,MSP,Hunt Scanlon #5 Global Exec Search,"Single-profit partnership, global integration",,,"Markup-based, MSP Fee, Program Fee",B,
VND-0036,Teleperformance,CO,,France,Independent,$11000M,500000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, PCI DSS, HIPAA","Global brands, tech giants",Customer Service,Everest CX Leader (Americas/EMEA); ISG TOP Leader,"Contact center, 300 languages, TP Cloud Campus",Integration uncertainty from recent M&A,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0037,Concentrix,CO,,USA,Independent,$9600M,440000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, PCI DSS, SOC 2","Fortune 500, tech leaders",Customer Service,Everest CX Leader (all 3 regions); ISG Leader,"CX technology, Catalyst platform, 155 Fortune 500 clients",,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0038,Foundever,CO,,France,Independent,$4000M,170000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, PCI DSS",Global enterprises,Customer Service,Everest Leader; ISG TOP Leader (5th year); Frost & Sullivan 2024 Company of Year,"MAX methodology, employee NPS 27→52",,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0039,TTEC,CO,,USA,Independent,$2200M,55000.0,1.0,,"ISO 27001, PCI DSS, HIPAA","Fortune 500, healthcare",Customer Service,Everest Americas Leader; ISG Leader (2 quadrants),"CX technology + services, TTEC Digital",,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0040,Alorica,CO,,USA,Independent,$2400M,100000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, PCI DSS",Fortune 500 enterprises,Customer Service,Gartner 2022 Leader; Everest Americas Leader,"Contact center, collections (SST), InsideOut culture",,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0041,Genpact,CO,"FA,PS",USA,Independent,$4770M,125000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 1/2, HIPAA","Fortune 500, GE heritage","Customer Service, Accounts Payable, Source-to-Pay",Everest FAO Leader (14th year); Gartner Leader; HfS #1 CX,"Cora platform, Six Sigma heritage, Data-Tech-AI 47%",,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0042,WNS,CO,"FA,IN",India,Capgemini (acquired Oct 2025),$1310M,66000.0,2.0,"NA, APAC","ISO 27001, SOC 1/2",Global enterprises,"Customer Service, Accounts Payable, Policy Administration",Gartner FAO Leader (3rd year); Everest Leader; NelsonHall Leader,"Analytics heritage, BFSI depth, TRAC ONE-F platform",Integration uncertainty from recent M&A,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0043,TaskUs,CO,,USA,Blackstone (going private),$1000M,59000.0,1.0,,"ISO 27001, SOC 2, PCI DSS","Tech unicorns, Netflix",Customer Service,Everest Trust & Safety Leader (3 years),"Content moderation, AI data annotation, tech clients",,Going private - governance changes,"FTE-based, Transaction-based, Outcome-based",B,
VND-0044,NICE,CO,,Unknown,Independent,$2740M,8500.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, PCI DSS",85% of Fortune 100,Customer Service,Gartner CCaaS Leader (11th year); Forrester Leader (#1),"CXone platform, Enlighten AI, 97% large enterprise deals",Integration uncertainty from recent M&A,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0045,Genesys,CO,,USA,Permira/Hellman & Friedman,$2200M,6000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, PCI DSS",Global enterprises,Customer Service,Gartner CCaaS Leader (highest Ability to Execute); Forrester Leader,"Genesys Cloud, 5,700+ orgs, 1M+ seats",,,"FTE-based, Transaction-based, Outcome-based",A,
VND-0046,Five9,CO,,USA,Independent,$1040M,3000.0,1.0,,"ISO 27001, SOC 2, PCI DSS",2500+ customers,Customer Service,Gartner CCaaS Leader; Enterprise AI 46% growth,"Cloud contact center, Genius AI",Integration uncertainty from recent M&A,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0047,HCLTech,IT,HR,India,HCL Corporation,$13300M,227000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, CMMI Level 5, SOC 2","Fortune 500, global banks","Application Development, Payroll Processing",Gartner PCITS Leader (4th year); Everest AWS/Azure/GCP Leader,"Engineering R&D, CloudSMART, HCLSoftware $1.4B",,,"T&M, Fixed Price, Managed Services",A,
VND-0048,NTT DATA,IT,,Japan,NTT,$31000M,207939.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2",Global enterprises,Application Development,Gartner MNS Leader; Gartner PCITS Leader; ISG Public Sector Leader,"Network services, 80+ data centers, Japanese enterprise heritage",,,"T&M, Fixed Price, Managed Services",A,
VND-0049,DXC Technology,IT,,USA,Independent,$13300M,130000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, FedRAMP, SOC 2","Fortune 500, governments",Application Development,Gartner ODWS Leader; Everest Mainframe Leader,"Infrastructure, mainframe, insurance industry",,,"T&M, Fixed Price, Managed Services",A,
VND-0050,Kyndryl,IT,,USA,Independent,$16100M,80000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2, FedRAMP",75% of Fortune 100,Application Development,Gartner DCO Leader; Everest Mainframe Star Performer,"Infrastructure outsourcing, IBM environments, digital workplace",Post-spinoff transition risks,,"T&M, Fixed Price, Managed Services",A,
VND-0051,EPAM,IT,,USA,Independent,$4730M,61200.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2","Fortune 500, tech leaders",Application Development,Gartner CSD Leader (2nd year); IDC Engineering Leader,"Digital engineering, product development, nearshore Eastern Europe",Integration uncertainty from recent M&A,,"T&M, Fixed Price, Managed Services",A,
VND-0052,Globant,IT,,Unknown,Independent,$2420M,31280.0,2.0,"NA, EMEA","ISO 27001, SOC 2","Google, Disney, EA",Application Development,Gartner CSD Visionary; Forrester MAD Leader; Everest SPE Star Performer,"Creative + engineering fusion, AI Pods subscription",,,"T&M, Fixed Price, Managed Services",B,
VND-0053,Persistent Systems,IT,,India,Independent,$1450M,23800.0,2.0,"NA, APAC","ISO 27001, CMMI Level 5","Fortune 500, BFSI",Application Development,Everest SPE Star Performer; ISG GenAI Rising Star,"Software product engineering, ISV partnerships, mid-market",May lack enterprise-grade SLAs,,"T&M, Fixed Price, Managed Services",B,
VND-0054,LTIMindtree,IT,,India,L&T Group,$4200M,82000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, CMMI Level 5",Fortune 500,Application Development,Everest Leader; ISG Leader; Gartner CSD evaluated,"Digital engineering, cloud, merger synergies",,,"T&M, Fixed Price, Managed Services",A,
VND-0055,Tech Mahindra,IT,,India,Mahindra Group,$6100M,145000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, CMMI Level 5","Global telcos, enterprises",Application Development,Everest Leader; ISG Leader; Gartner evaluated,"Telecom expertise, 5G, network services",,,"T&M, Fixed Price, Managed Services",A,
VND-0056,Mphasis,IT,,India,Blackstone,$1800M,34000.0,2.0,"NA, APAC","ISO 27001, SOC 2","BFSI, insurance",Application Development,Everest Major Contender; ISG Rising Star,"BFSI, front-to-back digital transformation",,,"T&M, Fixed Price, Managed Services",B,
VND-0057,Ensono,IT,,USA,KKR,$750M,3000.0,1.0,,"ISO 27001, SOC 2","Mainframe, hybrid IT",Application Development,Everest Mainframe Leader & Star Performer,"Mainframe modernization, hybrid IT",Limited scale for large enterprise engagements,,"T&M, Fixed Price, Managed Services",C,
VND-0058,Rackspace,IT,,USA,Independent,$2740M,6500.0,1.0,,"ISO 27001, SOC 2, PCI DSS",Fortune 500,Application Development,ISG AWS Ecosystem Leader (4 quadrants),"Multi-cloud MSP, AWS expertise",,,"T&M, Fixed Price, Managed Services",B,
VND-0059,Deloitte,IT,"PS,FA",UK,Independent,$67200M,460000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2",80% of Fortune 500,"Application Development, Source-to-Pay, Accounts Payable",Gartner PCITS Leader (furthest in Vision); Gartner #1 Security Revenue,"Cloud transformation, SAP, advisory integration",,,"T&M, Fixed Price, Managed Services",A,
VND-0060,PwC,PS,FA,UK,Independent,$55400M,370000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2","Fortune 500, governments","Source-to-Pay, Accounts Payable",Vault #1 Most Prestigious Accounting Firm,"Tax practice (largest Big4), OpenAI partnership, $1.5B AI investment",,,"Retainer, Project-based, Success Fee",A,
VND-0061,EY,PS,FA,UK,Independent,$51200M,400000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2",Fortune 500 globally,"Source-to-Pay, Accounts Payable",Vault #6-8 Consulting Prestige; EY-Parthenon strategy,"EYQ LLM, tech alliances, audit-consulting hybrid",,,"Retainer, Project-based, Success Fee",A,
VND-0062,KPMG,PS,FA,Netherlands,Independent,$38400M,275000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2","Fortune 500, governments","Source-to-Pay, Accounts Payable",Highest Big4 growth rate FY2024 (5.1%),"Tax & Legal (10% growth), $4.2B investment plan",,,"Retainer, Project-based, Success Fee",A,
VND-0063,CrowdStrike,IT,,USA,Independent,$3950M,10000.0,4.0,"NA, EMEA, APAC, LATAM","FedRAMP, SOC 2, ISO 27001","Fortune 500, governments",Application Development,Gartner EPP Leader; Forrester MDR Leader (highest scores),"Falcon platform, EDR/XDR, threat intelligence",,,"T&M, Fixed Price, Managed Services",A,
VND-0064,Palo Alto Networks,IT,,USA,Independent,$8000M,14000.0,4.0,"NA, EMEA, APAC, LATAM","FedRAMP, SOC 2, ISO 27001",85 of Fortune 100,Application Development,Gartner SSE Leader; Forrester XDR Leader; Gartner EPP Leader,"SASE, Cortex XDR, Prisma cloud security",Integration uncertainty from recent M&A,,"T&M, Fixed Price, Managed Services",A,
VND-0065,Securitas,FR,,Unknown,Independent,$15500M,340000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 9001, ISO 27001",Global enterprises,Facilities Management,Global #2 Security Services,"Physical security, electronic surveillance, SOC",,,"Cost-plus, Fixed Fee, Sq-ft-based",A,
VND-0066,Trustwave,IT,,USA,LevelBlue,$400M,2000.0,1.0,,"PCI QSA, ISO 27001",Global enterprises,Application Development,ISG MSSP Midmarket Leader; Forrester MSSP included,"MSSP, SOC services, SpiderLabs threat research",Limited scale for large enterprise engagements,,"T&M, Fixed Price, Managed Services",C,
VND-0067,Optiv,IT,,USA,Independent,$3700M,2300.0,1.0,,"ISO 27001, SOC 2",Fortune 500,Application Development,IDC Cybersecurity Consulting Leader; KuppingerCole IAM Leader,"Security integrator (450+ vendors), GRC, ClearShark federal",Integration uncertainty from recent M&A,,"T&M, Fixed Price, Managed Services",B,
VND-0068,Coalfire,IT,,USA,Carlyle Group,$210M,1100.0,1.0,,"FedRAMP 3PAO, ISO 27001","Cloud providers, enterprises",Application Development,FedRAMP 3PAO Market Leader,"FedRAMP compliance, 85+ security frameworks, cloud authorization",Limited scale for large enterprise engagements,,"T&M, Fixed Price, Managed Services",C,
VND-0069,HighRadius,FA,,USA,Independent,$600M,5000.0,1.0,,"SOC 1/2, ISO 27001","Fortune 500, P&G, Sanofi",Accounts Payable,Gartner MQ Leader - Invoice-to-Cash,"186 agentic AI agents, Rivana AI, FreedaGPT, AR automation",,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0070,BlackLine,FA,,USA,Independent,$650M,2000.0,1.0,,"SOC 1/2, ISO 27001",Fortune 500,Accounts Payable,Gartner Financial Close Leader,"Financial close automation, Studio360, Vera AI agent",,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0071,Coupa,FA,PS,USA,Thoma Bravo,$1000M,4500.0,1.0,,"ISO 27001, SOC 2","Fortune 500, $8T spend","Accounts Payable, Source-to-Pay",Gartner S2P Leader (highest Execute); Gartner AP Leader,"BSM platform, $8T spend data, Coupa Navi GenAI",,Going private - governance changes,"FTE-based, Transaction-based, Outcome-based",B,
VND-0072,Basware,FA,,Finland,Accel-KKR,$300M,1500.0,2.0,"NA, EMEA","ISO 27001, SOC 2",Global enterprises,Accounts Payable,Gartner AP Applications Leader; Forrester AP Automation Leader,"AP automation, e-invoicing 180+ countries, 2.2B invoices trained AI",Limited scale for large enterprise engagements,Going private - governance changes,"FTE-based, Transaction-based, Outcome-based",C,
VND-0073,EXL,FA,IN,USA,Independent,$1750M,50000.0,1.0,,"ISO 27001, SOC 1/2, HIPAA","Fortune 500, insurance","Accounts Payable, Policy Administration",Gartner FAO Leader (4th year); Everest Major Contender,"EXELIA.AI, analytics-driven F&A, insurance TPA",,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0074,Sutherland,FA,CO,USA,TPG,$500M,40000.0,1.0,,"ISO 27001, SOC 2, HIPAA",Fortune 500,"Accounts Payable, Customer Service",Gartner 2022 CX BPO Leader; Everest Major Contender,"Digital transformation, CX + F&A integration",,,"FTE-based, Transaction-based, Outcome-based",B,
VND-0075,GEP,PS,SC,USA,Independent,$1000M,8000.0,1.0,,"ISO 27001, SOC 2","Fortune 500, $350B spend","Source-to-Pay, Freight Forwarding",Everest Procurement Leader & Star Performer (12th year); Gartner S2P Leader,"QUANTUM AI, SMART platform, hybrid software+services",,,"Retainer, Project-based, Success Fee",B,
VND-0076,SAP Ariba,PS,,Germany,SAP SE,$3000M,100000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 27001, SOC 2",$6T network commerce,Source-to-Pay,Gartner S2P Leader (7th year),"$6T commerce on SAP Business Network, Joule AI",,,"Retainer, Project-based, Success Fee",A,
VND-0077,Ivalua,PS,,USA,Independent,$300M,900.0,1.0,,"ISO 27001, SOC 2",Fortune 500,Source-to-Pay,Gartner S2P Leader (2nd year),"Unified platform, 98%+ retention, 100% partner-first",Limited scale for large enterprise engagements,,"Retainer, Project-based, Success Fee",C,
VND-0078,JAGGAER,PS,,USA,Independent,$400M,2500.0,1.0,,"ISO 27001, SOC 2","Higher ed, enterprises",Source-to-Pay,Gartner P2P Leader (4th year),"JAGGAER ONE platform, higher ed/manufacturing/public sector",Limited scale for large enterprise engagements,,"Retainer, Project-based, Success Fee",C,
VND-0079,Proxima,PS,,UK,Bain & Company,$200M,1000.0,2.0,"NA, EMEA",ISO 27001,"Private equity, F500",Source-to-Pay,Forbes Best Management Consulting (2022-2024),"Buy Better + Spend Better methodology, PE cost optimization",Limited scale for large enterprise engagements | Integration uncertainty from recent M&A,,"Retainer, Project-based, Success Fee",C,
VND-0080,Efficio,PS,,UK,Independent,$300M,1500.0,2.0,"NA, EMEA",ISO 27001,"Private equity, F500",Source-to-Pay,Forbes Best Management Consulting; Spend Matters recognized,"Pure-play procurement consulting, eFlow platform, OnTrack",Limited scale for large enterprise engagements,,"Retainer, Project-based, Success Fee",C,
VND-0081,CBRE,FR,,USA,Independent,$35800M,140000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 14001, ISO 45001","Fortune 500, 7B sqft",Facilities Management,Global #1 CRE Services; Euromoney Top Global RE Agency,"7B sqft managed, Nexus AI SmartFM, Turner & Townsend",Integration uncertainty from recent M&A,,"Cost-plus, Fixed Fee, Sq-ft-based",A,
VND-0082,JLL,FR,,USA,Independent,$23400M,112000.0,4.0,"NA, EMEA, APAC, LATAM","ISO 14001, ISO 45001","Fortune 500, 4.6B sqft",Facilities Management,IFMA George Graves Award 2023 AND 2024; Global #2 CRE,"4.6B sqft managed, JLL GPT first LLM, JLL Serve AI FM",,,"Cost-plus, Fixed Fee, Sq-ft-based",A,
VND-0083,Cushman & Wakefield,FR,,USA,Independent,$9400M,52000.0,4.0,"NA, EMEA, APAC, LATAM",ISO 14001,"Fortune 500, 5.1B sqft",Facilities Management,CoreNet Global Gold Partner; Euromoney Top Agency,"5.1B sqft managed, C&W Services self-delivery, Azure OpenAI",,,"Cost-plus, Fixed Fee, Sq-ft-based",A,
VND-0084,Colliers,FR,,Canada,Independent,$5500M,24000.0,4.0,"NA, EMEA, APAC, LATAM",ISO 14001,Global enterprises,Facilities Management,TIME World's Best Companies 2024,"2B sqft managed, engineering (67% growth), Harrison Street $108B AUM",,,"Cost-plus, Fixed Fee, Sq-ft-based",A,
