Service_Type_ID,Vendor_ID,Vendor_Name,Analyst_Ranking,Analyst_Source,Ranking_Tier,Vendor_Type,Founded_Year,Confidence,As_Of_Date,Source_Type,Notes
ST-AI-001-03-02,VND-0504,CloudFactory,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Scalable teams for categorizing user sentiment in social media and support tickets.
ST-AI-001-03-02,VND-0987,Label Your Data,,,,Emerging,2019,LOW,2025-01,Manual,Offers tailored sentiment analysis services with GDPR compliance focus.
ST-AI-001-04-01,VND-1581,TranscribeMe,Rep Vendor,Gartner,,Established,2011,MEDIUM,2025-01,Analyst,Best-in-class accuracy for specialized legal and medical transcription.
ST-AI-001-04-01,VND-1750,iMerit,Major Contender,Everest Group,2,Established,2012,HIGH,2025-01,Analyst,Strong audio capabilities for training voice assistants and ASR models.
ST-AI-001-05-01,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,Recognized market leader for 3D LiDAR annotation quality and workforce skill.
ST-AI-001-05-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Pioneer in 3D sensor fusion annotation for the AV industry.
ST-AI-001-05-01,VND-1418,Segments.ai,,,,Emerging,2020,LOW,2025-01,Manual,Niche leader in multi-sensor 3D point cloud segmentation for robotics.
ST-AI-001-03-03,VND-0355,Automation Anywhere,Leader,Gartner,1,Established,2003,HIGH,2025-01,Analyst,Major player in Intelligent Document Processing (IDP) and extraction.
ST-AI-001-03-03,VND-1507,SuperAnnotate,Rep Vendor,Gartner,,Established,2018,MEDIUM,2025-01,Analyst,Offers specialized toolkits for layout analysis and OCR correction.
ST-AI-001-03-03,VND-1332,Reducto AI,,,,Emerging,2023,LOW,2025-01,Manual,Focuses on ingesting and structuring complex documents for LLM RAG pipelines.
ST-AI-001-03-03,VND-0385,Base64.ai,,,,Emerging,2020,LOW,2025-01,Manual,"AI service specializing in universal document extraction (IDs, forms, invoices)."
ST-AI-001-04-02,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Unrivaled global crowd for collecting speech data in 180+ languages/dialects.
ST-AI-001-04-02,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Rapidly growing specialist in collecting high-volume speech data for generative AI.
ST-AI-001-04-02,VND-1430,Shaip,,,,Emerging,2021,LOW,2025-01,Manual,Platform-centric vendor specializing in diverse clinical and conversational audio collection.
ST-AI-001-01-06,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,"Massive global reach for collecting diverse image datasets (faces, environments)."
ST-AI-001-01-06,VND-0473,Centific,Leader,Everest Group,1,Established,1995,HIGH,2025-01,Analyst,(OneForma) Strong platform for sourcing custom image datasets globally.
ST-AI-001-01-06,VND-1504,SunTec.AI,,,,Emerging,2020,LOW,2025-01,Manual,Custom data collection services for training computer vision models.
ST-AI-001-02-03,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,"Capable of directing complex video collection scenarios (e.g., ""filming specific gestures"")."
ST-AI-001-02-03,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Specializes in collecting video data for biometric and action recognition systems.
ST-AI-001-02-03,VND-0987,Label Your Data,,,,Emerging,2019,LOW,2025-01,Manual,Offers bespoke video collection services compliant with EU privacy laws.
ST-AI-001-03-04,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Premier provider for collecting text corpora for LLM training and RLHF.
ST-AI-001-03-04,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,The go-to vendor for collecting rare language text and dialect data.
ST-AI-001-03-04,VND-1430,Shaip,,,,Emerging,2021,LOW,2025-01,Manual,Focuses on healthcare text collection and conversational AI scripts.
ST-AI-001-03-05,VND-0473,Centific,Leader,Everest Group,1,Established,1995,HIGH,2025-01,Analyst,(OneForma) One of the strongest platforms for long-tail language data collection.
ST-AI-001-03-05,VND-1310,RWS,Leader,IDC,1,Established,1958,HIGH,2025-01,Analyst,(TrainAI) Deep heritage in translation and linguistic data services.
ST-AI-001-03-05,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Strategic focus on expanding language coverage for generative AI models.
ST-AI-003-01-01,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"Agent-led data modernization, ML pipeline engineering with 7,800+ data engineers"
ST-AI-003-01-01,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"BigDecisions platform, cloud-native pipelines, TriZetto healthcare expertise"
ST-AI-003-01-01,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"AI Assist platform for SDLC automation, consulting-led transformation"
ST-AI-003-01-01,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"AI.Cloud business unit, governance frameworks, cloud-native MLOps"
ST-AI-003-01-01,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"AI & Data Engineering with 7,800+ engineers, 500+ projects completed"
ST-AI-003-01-01,VND-0047,HCLTech,Leader,Everest Group,1,Established,1976,HIGH,2025-01,Analyst,Data engineering services with healthcare analytics specialization
ST-AI-003-01-01,VND-0008,Wipro,Leader,Everest Group,1,Established,1945,HIGH,2025-01,Analyst,"Wipro Intelligence platform, HOLMES GenAI integration"
ST-AI-003-01-01,VND-0010,Infosys,,,,Established,1981,LOW,2025-01,Manual,"Infosys Topaz/Cobalt platforms, multi-agentic solutions, small language models"
ST-AI-003-01-01,VND-1446,Sigmoid,,,,Established,2013,LOW,2025-01,Manual,"5,000+ pipelines built, D.A.T.A framework, data quality accelerators"
ST-AI-003-01-01,VND-1585,Tredence,,,,Established,2013,LOW,2025-01,Manual,"DataOps/MLOps expertise, retail/banking/telecom focus"
ST-AI-003-01-01,VND-1267,Prolifics,,,,Established,1978,LOW,2025-01,Manual,"40% faster data availability, cloud-native solutions"
ST-AI-003-01-01,VND-0404,BluEnt,,,,Established,2012,LOW,2025-01,Manual,"Real-time ETL, self-healing pipelines, AI-driven transformations"
ST-AI-003-01-02,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"MLOps managed services, agent-based automation, 24/7 monitoring"
ST-AI-003-01-02,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"MLOps consulting, cloud optimization, automated DevOps"
ST-AI-003-01-02,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"AI/Data Operations Management, Modern Operate platform"
ST-AI-003-01-02,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"Enterprise MLOps consulting, Jile platform, DevSecOps"
ST-AI-003-01-02,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"Data Estate Modernization, CI/CD pipelines, monitoring frameworks"
ST-AI-003-01-02,VND-0047,HCLTech,Leader,Everest Group,1,Established,1976,HIGH,2025-01,Analyst,"MLOps and pipeline monitoring, advanced analytics"
ST-AI-003-01-02,VND-0008,Wipro,Leader,Everest Group,1,Established,1945,HIGH,2025-01,Analyst,"DevSecOps pipelines, Apex platform, 50-75% improvement"
ST-AI-003-01-02,VND-0216,Slalom,,,,Established,2001,LOW,2025-01,Manual,"Cloud-native MLOps, AWS/GCP/Azure partnerships"
ST-AI-003-01-02,VND-0167,Thoughtworks,,,,Established,1993,LOW,2025-01,Manual,"MLOps/LLMOps, open-source contributions (MLflow, Feast)"
ST-AI-003-01-02,VND-1130,N-iX,,,,Established,2002,LOW,2025-01,Manual,"MLOps-as-a-service, 24/7 operations, 200+ AI professionals"
ST-AI-003-01-02,VND-0905,Inoxoft,,,,Established,2014,LOW,2025-01,Manual,"75% faster deployments, vendor-neutral guidance"
ST-AI-003-01-02,VND-0262,Addepto,,,,Established,2017,LOW,2025-01,Manual,"Regulated industries, Databricks expertise, 375% revenue growth"
ST-AI-003-01-02,VND-0589,DataRoot Labs,,,,Established,2016,LOW,2025-01,Manual,"Full ML lifecycle, 90% accuracy, Forbes top 10 AI consulting"
ST-AI-003-01-02,VND-0331,Arize AI,,,,Emerging,2019,LOW,2025-01,Manual,"AI observability, ML monitoring for production, $131M Series C"
ST-AI-003-01-03,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"Real-time data processing, streaming analytics"
ST-AI-003-01-03,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"Real-time analytics, streaming data engineering for ML"
ST-AI-003-01-03,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"Event-driven architectures, IoT data engineering"
ST-AI-003-01-03,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"Real-time analytics, cloud-led streaming pipelines"
ST-AI-003-01-03,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"Real-time processing capabilities, streaming pipelines"
ST-AI-003-01-03,VND-0404,BluEnt,,,,Established,2012,LOW,2025-01,Manual,"Real-time ETL/streaming, Kafka/Kinesis/Flink expertise"
ST-AI-003-01-03,VND-1446,Sigmoid,,,,Established,2013,LOW,2025-01,Manual,"Real-time and batch pipelines, scalable data flow"
ST-AI-003-02-01,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"Data warehouse design for ML/AI, cloud architecture"
ST-AI-003-02-01,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"Data warehouse design, BigDecisions modernization"
ST-AI-003-02-01,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"Data architecture consulting, AI-driven warehousing"
ST-AI-003-02-01,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"Data warehouse/lakehouse architecture, cloud design"
ST-AI-003-02-01,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"Data warehouse/lake architecture, Data Estate Modernization"
ST-AI-003-02-01,VND-0047,HCLTech,Leader,Everest Group,1,Established,1976,HIGH,2025-01,Analyst,"Data infrastructure consulting, AI-ready warehouse design"
ST-AI-003-02-01,VND-0008,Wipro,Leader,Everest Group,1,Established,1945,HIGH,2025-01,Analyst,"Data architecture, cloud warehouse implementation"
