Service_Type_ID,Category_Code,Parent_Category_Code,Service_Type_Name,Description,Delivery_Channel,Primary_Pricing_Model,Benchmark_Unit,Frontline_Agent_Type,Managed_Service_Load,Tier_Structure,Default_AHT_Minutes,SLA_Timeliness_Type,SLA_Timeliness_Default,SLA_Quality_Type,SLA_Quality_Default,Required_Modifiers,Optional_Modifiers,Typical_Vendors,Confidence,AHT_Data_Tier,AHT_Source,Complexity_Tier,Resource_Unit_Name,Typical_Volume_Low,Typical_Volume_High,Confidence_Score
ST-HR-001-01-01,CAT-HR-001-01,CAT-HR-001,Medical Claims Adjudication,"Processing of self-funded medical claims including adjudication, EOB generation, and provider payments",Async,PPU,Case,Claims_Processor,Standard,,6.0,Processing,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-001-02-01,CAT-HR-001-02,CAT-HR-001,TPA Plan Administration,"Full TPA services including plan administration, eligibility management, and compliance",Async,PPU,Month,Claims_Processor,Standard,,6.0,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-001-03-01,CAT-HR-001-03,CAT-HR-001,Formulary Management,"PBM services including formulary management, drug utilization review, and specialty pharmacy",Async,PPU,Month,Claims_Processor,Standard,,6.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-001-04-01,CAT-HR-001-04,CAT-HR-001,Utilization Review,"Utilization review, case management, pre-authorization, and disease management",Async,PPU,Case,Claims_Processor,Standard,,6.0,Turnaround,24hr pre-auth turnaround,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-01,CAT-HR-009-02,CAT-HR-009,Payroll Processing,"Complete payroll calculation, processing, and distribution including gross-to-net",Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Delivery,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-02,CAT-HR-009-02,CAT-HR-009,Tax Filing & Remittance,"Federal, state, and local tax calculation, filing, and remittance",Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-03,CAT-HR-009-02,CAT-HR-009,Garnishment Processing,Administration of court-ordered wage garnishments and child support withholdings,Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-04,CAT-HR-009-02,CAT-HR-009,Time & Attendance Integration,Integration of time tracking data with payroll systems for accurate pay calculations,Live_Digital,PPU,Month,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-05,CAT-HR-009-02,CAT-HR-009,W-2/Year-End Processing,Preparation and distribution of W-2s and other year-end tax documents,Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Processing,"100% on-time, <1% corrections",Accuracy,100% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-06,CAT-HR-009-02,CAT-HR-009,Multi-State Payroll,Payroll processing for employees across multiple state jurisdictions,Live_Digital,PPU,Month,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-07,CAT-HR-009-02,CAT-HR-009,Global Payroll Coordination,Coordination of payroll across multiple countries with local compliance,Live_Digital,PPU,Month,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-02-08,CAT-HR-009-02,CAT-HR-009,Payroll Inquiry Resolution,Resolution of employee pay inquiries and discrepancies,Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Response,"4hr response, 24hr resolution",Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-006-02-01,CAT-HR-006-02,CAT-HR-006,Full-Cycle Recruitment,"End-to-end recruitment including sourcing, screening, interviewing, and offer management",,Outcome,Case,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-02,CAT-HR-006-02,CAT-HR-006,Candidate Sourcing,Proactive identification of qualified candidates through multiple channels,,Fixed_Monthly,Month,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-03,CAT-HR-006-02,CAT-HR-006,Applicant Screening,Initial qualification of applicants against job requirements,,PPU,Transaction,Recruiter,Standard,,10,Turnaround,"24hr turnaround, 90% accuracy",Accuracy,90% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-04,CAT-HR-006-02,CAT-HR-006,Interview Scheduling,Coordination of interview logistics between candidates and hiring managers,,PPU,Transaction,Recruiter,Standard,,10,Processing,"Same-day scheduling, <5% reschedule",Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-05-01,CAT-HR-006-05,CAT-HR-006,Background Verification,"Pre-employment background checks including criminal, employment, education",,PPU,Transaction,Recruiter,Standard,,10,Turnaround,"3-5 day turnaround, 99% accuracy",Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-05-02,CAT-HR-006-05,CAT-HR-006,Drug Testing Coordination,Administration of pre-employment and random drug testing programs,,PPU,Transaction,Recruiter,Standard,,10,Processing,"24hr scheduling, compliance",Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-05,CAT-HR-006-02,CAT-HR-006,Offer Letter Generation,Preparation of employment offers with compensation details and terms,,PPU,Transaction,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,100% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-06,CAT-HR-006-02,CAT-HR-006,Onboarding Document Collection,Collection and verification of new hire paperwork and compliance documents,,Outcome,Case,Recruiter,Standard,,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-07,CAT-HR-006-02,CAT-HR-006,Recruitment Marketing,Development and execution of employer branding and job marketing campaigns,,Fixed_Monthly,Month,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-02-08,CAT-HR-006-02,CAT-HR-006,Campus Recruiting,Coordination of early career recruiting programs at universities,,PPU,Case,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-01-01,CAT-HR-006-01,CAT-HR-006,Executive Search,C-suite and senior leadership recruiting,,Outcome,Case,Executive_Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-03-01,CAT-HR-006-03,CAT-HR-006,Technical Recruiting,Technology and specialized hiring,,Outcome,Case,Technical_Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-006-04-01,CAT-HR-006-04,CAT-HR-006,Outplacement Services,Career transition support for departing employees,,PPU,Case,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,90% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-009-01-01,CAT-HR-009-01,CAT-HR-009,Employee Records Management,Maintenance of employee personnel files and HRIS data,Live_Digital,PPU,Month,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-01-02,CAT-HR-009-01,CAT-HR-009,HR Help Desk,Centralized response to employee HR inquiries across all topics,Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Response,"ASA <30 sec, 80% FCR, CSAT >85%",FCR,80% fcr,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-002-06-01,CAT-HR-002-06,CAT-HR-002,Policy Administration,"Development, maintenance, and communication of HR policies",,Fixed_Monthly,Month,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-009-01-03,CAT-HR-009-01,CAT-HR-009,I-9/E-Verify Administration,Management of employment eligibility verification with compliance tracking,Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,100% compliance,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-004-01-01,CAT-HR-004-01,CAT-HR-004,Unemployment Claims Management,Administration of unemployment claim responses and protest filings,Async,PPU,Case,Insurance_Admin,Standard,,10.0,Response,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-009-01-04,CAT-HR-009-01,CAT-HR-009,Employment Verification,Responding to verification requests for current and former employees,Live_Digital,PPU,Transaction,HRIS_Admin,Standard,L1-L2,10.0,Response,"24hr response, privacy compliance",Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-002-06-02,CAT-HR-002-06,CAT-HR-002,Organizational Change Management,"HR support for reorganizations, RIFs, and M&A activity",,T&M,Hour,Consultant,Standard,L1-L4,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-04-01,CAT-HR-002-04,CAT-HR-002,HR Compliance Auditing,Internal audits of HR practices for regulatory compliance,,PPU,Case,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-01-01,CAT-HR-008-01,CAT-HR-008,LMS Administration,"Management of Learning Management System including content, enrollment, and reporting",,Fixed_Monthly,Month,Training_Specialist,Standard,,10,Processing,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-01-02,CAT-HR-008-01,CAT-HR-008,Training Content Development,"Custom development of e-learning modules, videos, and training materials",,T&M,Hour,Training_Specialist,Standard,,10,Processing,24hr processing,CSAT,95% csat,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-04-01,CAT-HR-008-04,CAT-HR-008,Compliance Training Administration,Delivery and tracking of required compliance training,,PPU,Month,Training_Specialist,Standard,,10,Processing,24hr processing,Accuracy,100% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-02-01,CAT-HR-008-02,CAT-HR-008,Leadership Development Programs,Design and delivery of manager and executive development curricula,,PPU,Project,Training_Specialist,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-03-01,CAT-HR-008-03,CAT-HR-008,New Hire Orientation,Structured onboarding programs for cultural integration and productivity,,PPU,Case,Training_Specialist,Standard,,10,Processing,24hr processing,CSAT,90% csat,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-03-02,CAT-HR-008-03,CAT-HR-008,Skills Assessment,Evaluation of employee competencies against role requirements,,PPU,Transaction,Training_Specialist,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-008-03-03,CAT-HR-008-03,CAT-HR-008,Training Needs Analysis,Analysis of organizational skill gaps and training priorities,,PPU,Case,Training_Specialist,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-01,CAT-HR-002-03,CAT-HR-002,Compensation Benchmarking,Market analysis of pay competitiveness using survey data,,PPU,Project,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-02,CAT-HR-002-03,CAT-HR-002,Job Evaluation/Grading,Systematic evaluation of jobs for internal equity and external alignment,,PPU,Transaction,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-03,CAT-HR-002-03,CAT-HR-002,Salary Structure Design,"Development of pay ranges, grades, and progression criteria",,T&M,Hour,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-04,CAT-HR-002-03,CAT-HR-002,Merit/Bonus Administration,Processing of annual merit increases and bonus calculations,,PPU,Transaction,Consultant,Standard,L1-L4,10,Delivery,24hr processing,Accuracy,99% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-05,CAT-HR-002-03,CAT-HR-002,Executive Compensation Support,"Administration of executive pay, deferred comp, and equity programs",,PPU,Month,Consultant,Standard,L1-L4,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-06,CAT-HR-002-03,CAT-HR-002,Pay Equity Analysis,Statistical analysis of pay practices for equity and compliance,,PPU,Case,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-03-07,CAT-HR-002-03,CAT-HR-002,Variable Compensation Modeling,"Design and calculation of commission, bonus, and incentive structures",,PPU,Case,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-003-04-01,CAT-HR-003-04,CAT-HR-003,Scheduling/Shift Planning,Creation and optimization of employee work schedules,,PPU,Month,Contractor,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-009-01-05,CAT-HR-009-01,CAT-HR-009,Absence Management,Tracking and administration of employee absences and time-off,Live_Digital,PPU,Month,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-003-04-02,CAT-HR-003-04,CAT-HR-003,Labor Forecasting,Prediction of staffing needs based on demand patterns,,Fixed_Monthly,Month,Contractor,Standard,,10,Processing,24hr processing,Accuracy,90% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-003-01-01,CAT-HR-003-01,CAT-HR-003,Contingent Workforce Management,"Administration of contractors, temps, and gig workers",,PPU,Transaction,Contractor,Standard,,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-009-01-06,CAT-HR-009-01,CAT-HR-009,Workforce Analytics,"Analysis of workforce data for insights on productivity, retention, attrition",Live_Digital,Fixed_Monthly,Month,HRIS_Admin,Standard,L1-L2,10.0,Delivery,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-002-05-01,CAT-HR-002-05,CAT-HR-002,Employee Investigations,"Investigation of workplace complaints, harassment, and policy violations",,PPU,Case,Consultant,Standard,L1-L4,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-002-05-02,CAT-HR-002-05,CAT-HR-002,Grievance Management,Processing and resolution of formal employee grievances,,PPU,Case,Consultant,Standard,L1-L4,10,Response,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-009-03-01,CAT-HR-009-03,CAT-HR-009,Performance Improvement Support,Administration of PIPs and corrective action processes,Live_Digital,PPU,Case,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-006-04-02,CAT-HR-006-04,CAT-HR-006,Exit Interview Administration,Conducting and analyzing exit interviews for retention insights,,PPU,Transaction,Recruiter,Standard,,10,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-009-03-02,CAT-HR-009-03,CAT-HR-009,Employee Engagement Surveys,"Design, deployment, and analysis of engagement survey programs",Live_Digital,PPU,Case,HRIS_Admin,Standard,L1-L2,10.0,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-002-01-01,CAT-HR-002-01,CAT-HR-002,HR Advisory Services,On-demand HR guidance for managers on employee relations matters,,T&M,Hour,Consultant,Standard,L1-L4,10,Response,"Response time <4hr, accuracy",Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
ST-HR-005-01-01,CAT-HR-005-01,CAT-HR-005,Employee Assistance Programs,"Counseling, crisis support, work-life services",Voice,PPU,Month,Wellness_Coordinator,Standard,,15.0,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-005-02-01,CAT-HR-005-02,CAT-HR-005,Wellness Programs,"Health promotion, biometrics, coaching",Voice,PPU,Month,Wellness_Coordinator,Standard,,15.0,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-005-03-01,CAT-HR-005-03,CAT-HR-005,Mental Health Services,"Digital mental health platforms, therapy access",Voice,PPU,Month,Wellness_Coordinator,Standard,,15.0,Processing,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-004-01-02,CAT-HR-004-01,CAT-HR-004,Workers Compensation Administration,Work injury insurance and claims management,Async,PPU,Case,Insurance_Admin,Standard,,10.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-004-02-01,CAT-HR-004-02,CAT-HR-004,Voluntary Benefits Administration,Employee-paid supplemental insurance administration,Async,PPU,Month,Insurance_Admin,Standard,,10.0,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-004-03-03,CAT-HR-004-03,CAT-HR-004,Life & Disability Administration,"Employer-sponsored life, STD, LTD coverage administration",Async,PPU,Month,Insurance_Admin,Standard,,10.0,Turnaround,24hr processing,Accuracy,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,T4_WORKFLOW_ASSUMPTION,,Standard,,,,
ST-HR-003-02-01,CAT-HR-003-02,CAT-HR-003,IT Staffing,"Technology-focused temporary workers, developers, analysts",,PPU,Transaction,Contractor,Standard,,10,Processing,24hr processing,Compliance,95% accuracy,,,"ADP,Benefitfocus,Businessolver,Mercer,Willis Towers Watson",HIGH,UNKNOWN,,Standard,,,,
