Mapping_ID,Service_Type_ID,Vendor_ID,Vendor_Name,Analyst_Ranking,Analyst_Source,Ranking_Tier,Vendor_Type,Founded_Year,Confidence,As_Of_Date,Source_Type,Notes,Maxx_Rec_Tier,Price_Position,Typical_Delivery_Location
SVM-00011,ST-AI-004-03-01,VND-1286,PwC Responsible AI,Leader,Forrester,1,Established,2017,HIGH,2025-01,Analyst,"Red teaming, bias testing, stress testing services; recognized Forrester AI/Analytics Consulting Leader",,,
SVM-00012,ST-AI-004-03-01,VND-0251,Accenture Security,Leader,Everest,1,Established,2015,HIGH,2025-01,Analyst,"Gen AI Security Engineering Hub; adversarial simulations and LLM red-teaming; 25,000+ professionals",,,
SVM-00013,ST-AI-004-03-01,VND-0835,HackerOne,,,,Established,2012,LOW,2025-01,Manual,AI Red Teaming with security researcher network; OWASP Top 10 for LLMs coverage,,,
SVM-00014,ST-AI-004-03-01,VND-1407,Schellman,,,,Established,2004,LOW,2025-01,Manual,GenAI penetration testing; framework-aligned LLM and RAG pipeline testing,,,
SVM-00015,ST-AI-004-03-01,VND-0423,Bugcrowd,,,,Established,2012,LOW,2025-01,Manual,AI Pen Test service; CREST-accredited; OWASP Top 10 for LLMs methodology,,,
SVM-00016,ST-AI-004-03-01,VND-1131,NCC Group,Strong Performer,Forrester,2,Established,1999,MEDIUM,2025-01,Analyst,AI/ML security assessments combining threat modeling with penetration testing,,,
SVM-00017,ST-AI-004-03-02,VND-1361,Robust Intelligence,Cool Vendor,Gartner,,Established,2019,HIGH,2025-01,Analyst,Algorithmic red teaming and AI Firewall; maps to OWASP and MITRE ATLAS,,,
SVM-00018,ST-AI-004-03-02,VND-1001,Lasso Security,Cool Vendor,Gartner,,Emerging,2020,HIGH,2025-01,Analyst,LLM Guardian with comprehensive LLM security evaluations and threat modeling,,,
SVM-00019,ST-AI-004-03-02,VND-0851,HiddenLayer,,,,Emerging,2022,LOW,2025-01,Manual,Model scanning and MLDR for real-time LLM protection; MITRE ATLAS framework,,,
SVM-00020,ST-AI-004-03-02,VND-1107,Mindgard,,,,Emerging,2022,LOW,2025-01,Manual,DAST-AI solution for LLM runtime vulnerabilities; UK Cyber Innovation Prize winner 2024,,,
SVM-00021,ST-AI-004-03-02,VND-0443,CalypsoAI,,,,Established,2018,LOW,2025-01,Manual,RSAC 2025 Innovation Sandbox top-two finalist; model-agnostic security,,,
SVM-00022,ST-AI-004-03-02,VND-0992,Lakera,,,,Emerging,2021,LOW,2025-01,Manual,Lakera Guard for LLM security; \<50ms response time; AI Model Risk Index,,,
SVM-00023,ST-AI-004-03-02,VND-1278,Protect AI,,,,Emerging,2022,LOW,2025-01,Manual,Guardian model scanning; Layer for LLM runtime security; Radar for AI risk assessment,,,
SVM-00024,ST-AI-004-03-02,VND-0973,Kroll,,,,Established,1972,LOW,2025-01,Manual,AI security testing finding 92% of assessments have prompt injection vulnerabilities,,,
SVM-00025,ST-AI-004-03-02,VND-1131,NCC Group,Strong Performer,Forrester,2,Established,1999,MEDIUM,2025-01,Analyst,AI/ML Secure Development Lifecycle Testing; technical assurance services,,,
SVM-00026,ST-AI-004-03-02,VND-0869,IARM,,,,Established,2000,LOW,2025-01,Manual,CREST-accredited LLM penetration testing; standards-based methodology,,,
SVM-00027,ST-AI-004-03-03,VND-1268,Prompt Security,,,,Emerging,2023,LOW,2025-01,Manual,Specialized prompt injection prevention; real-time filtering and abuse detection,,,
SVM-00028,ST-AI-004-03-03,VND-1269,PromptArmor,,,,Emerging,2023,LOW,2025-01,Manual,Deep technical expertise in indirect prompt injection threats,,,
SVM-00029,ST-AI-004-03-03,VND-0979,LMG Security,,,,Established,2005,LOW,2025-01,Manual,Prompt injection testing as part of comprehensive web application pentests,,,
SVM-00030,ST-AI-004-03-03,VND-1107,Mindgard,,,,Emerging,2022,LOW,2025-01,Manual,"Specialized testing for prompt injection across LLM, image, audio, and multimodal systems",,,
SVM-00031,ST-AI-004-03-03,VND-0851,HiddenLayer,,,,Emerging,2022,LOW,2025-01,Manual,Real-time detection of prompt injection and jailbreak attempts in production,,,
SVM-00032,ST-AI-004-04-01,VND-0870,IBM AI Fairness 360,,,,Established,1911,LOW,2025-01,Manual,Open-source toolkit with comprehensive bias mitigation algorithms,,,
SVM-00033,ST-AI-004-04-01,VND-1096,Microsoft Fairlearn,,,,Established,1975,LOW,2025-01,Manual,Open-source toolkit supporting demographic parity and equalized odds,,,
SVM-00034,ST-AI-004-04-01,VND-0740,Fisher Phillips \+ BLDS \+ SolasAI,,,,Established,1943,LOW,2025-01,Manual,NYC Local Law 144 compliance; legal \+ analytical rigor for bias audits,,,
SVM-00035,ST-AI-004-04-01,VND-1266,Prolific,,,,Emerging,2014,LOW,2025-01,Manual,200K+ global community for demographic-specific bias testing at scale,,,
SVM-00036,ST-AI-004-04-01,VND-1609,Unbiased Services,,,,Emerging,2020,LOW,2025-01,Manual,Comprehensive AI/ML algorithm bias assessments and fairness analysis,,,
SVM-00037,ST-AI-004-04-01,VND-1660,Vervali,,,,Established,2016,LOW,2025-01,Manual,AI Bias & Explainability Testing with US-based teams; GDPR/SOC 2 aligned,,,
SVM-00038,ST-AI-004-02-01,VND-1405,Scale AI,,,,Established,2016,LOW,2025-01,Manual,SEAL leaderboards; expert-driven LLM benchmarks; human-in-the-loop evaluation,,,
SVM-00039,ST-AI-004-02-01,VND-1750,iMerit,,,,Established,2012,LOW,2025-01,Manual,Ango Hub for expert-guided evaluation; domain specialists across healthcare/automotive/NLP,,,
SVM-00040,ST-AI-004-02-01,VND-1693,Weights & Biases,,,,Established,2017,LOW,2025-01,Manual,W\&B Core for experiment tracking; real-time metrics and automated workflows,,,
SVM-00041,ST-AI-004-02-01,VND-0988,Labelbox,,,,Established,2018,LOW,2025-01,Manual,Visual diff tools; scoring UIs; model-assisted QA and evaluation workflows,,,
SVM-00042,ST-AI-004-02-01,VND-0680,Encord,,,,Emerging,2020,LOW,2025-01,Manual,Encord Active for data-centric evaluation; automated error discovery for computer vision,,,
SVM-00043,ST-AI-004-02-01,VND-1457,Snorkel AI,,,,Established,2019,LOW,2025-01,Manual,Snorkel Flow for error slicing; failure analysis; programmatic labeling-based evaluation,,,
SVM-00044,ST-AI-004-02-01,VND-1591,Turing,,,,Established,2018,LOW,2025-01,Manual,"LLM evaluation services; benchmarking frameworks for accuracy, scalability, robustness",,,
SVM-00045,ST-AI-004-02-01,VND-1694,Welo Data,,,,Emerging,2020,LOW,2025-01,Manual,"Custom benchmarking solutions; model accuracy, efficiency, and scalability testing",,,
SVM-00046,ST-AI-004-04-02,VND-1086,Microsoft,,,,Established,1975,LOW,2025-01,Manual,Cloud-based moderation with custom term lists; text/image/video moderation APIs,,,
SVM-00047,ST-AI-004-04-02,VND-0244,AWS,,,,Established,1994,LOW,2025-01,Manual,Computer vision-based content moderation; image and video analysis at scale,,,
SVM-00048,ST-AI-004-04-02,VND-0855,Hive AI,,,,Established,2018,LOW,2025-01,Manual,"Industry-leading content moderation models; NSFW, hate speech, violence, CSAM detection",,,
SVM-00049,ST-AI-004-04-02,VND-0495,Clarifai,,,,Established,2013,LOW,2025-01,Manual,Custom moderation workflows; drag-and-drop AI pipelines; 95% greater accuracy than manual,,,
SVM-00050,ST-AI-004-04-02,VND-1689,WebPurify,,,,Established,2007,LOW,2025-01,Manual,Human \+ AI hybrid moderation; trusted by leading brands; customizable to specific needs,,,
SVM-00051,ST-AI-004-04-02,VND-0483,Checkstep,,,,Emerging,2020,LOW,2025-01,Manual,AI content moderation platform; DSA compliance; policy engine for 100+ abuse types,,,
SVM-00052,ST-AI-004-04-02,VND-1594,Two Hat,,,,Established,2012,LOW,2025-01,Manual,Acquired by Microsoft; real-time chat filtering with context-aware text moderation,,,
SVM-00053,ST-AI-004-04-02,VND-1471,Spectrum Labs,,,,Emerging,2018,LOW,2025-01,Manual,Contextual AI moderation; real-time analysis; 100+ language support,,,
SVM-00054,ST-AI-004-04-02,VND-0259,ActiveFence,,,,Emerging,2018,LOW,2025-01,Manual,Intelligence-driven threat monitoring; extremism/CSAM detection; 100+ languages,,,
SVM-00055,ST-AI-004-04-02,VND-0757,Foiwe,,,,Established,2009,LOW,2025-01,Manual,15+ years experience; AI \+ human moderation; text/image/audio/video coverage,,,
SVM-00056,ST-AI-004-04-03,VND-1218,Patronus AI,,,,Emerging,2023,LOW,2025-01,Manual,Lynx SOTA model outperforming GPT-4o on hallucination detection; 15K HaluBench dataset,,,
SVM-00057,ST-AI-004-04-03,VND-1058,Maxim AI,,,,Emerging,2022,LOW,2025-01,Manual,Multi-stage detection (prompt/output/user); evaluation workflows; enterprise governance,,,
SVM-00058,ST-AI-004-04-03,VND-0331,Arize AI,,,,Established,2020,LOW,2025-01,Manual,Phoenix HallucinationEvaluator; drift-based anomaly detection; 90% accuracy,,,
SVM-00059,ST-AI-004-04-03,VND-0998,LangSmith,,,,Established,2023,LOW,2025-01,Manual,Test-based output evaluation; debugging-focused for LangChain applications,,,
SVM-00060,ST-AI-004-04-03,VND-1693,Weights & Biases,,,,Established,2017,LOW,2025-01,Manual,Weave HallucinationFree Scorer; 91% accuracy with chain-of-thought reasoning,,,
SVM-00061,ST-AI-004-04-03,VND-1639,Vectara,,,,Emerging,2020,LOW,2025-01,Manual,HHEM-2.3 commercial hallucination evaluation model; open-source variant available,,,
SVM-00062,ST-AI-004-01-01,VND-1405,Scale AI,,,,Established,2016,LOW,2025-01,Manual,RLHF platform training Claude; human evaluation for Anthropic; multi-domain expertise,,,
SVM-00063,ST-AI-004-01-01,VND-0317,Appen,,,,Established,1996,LOW,2025-01,Manual,1M+ global contributors; RLHF services; 25+ years data annotation experience,,,
SVM-00064,ST-AI-004-01-01,VND-1510,Surge AI,,,,Emerging,2020,LOW,2025-01,Manual,RLHF platform for Anthropic Claude; InstructGPT-style models; SOC 2 complianceyoutube,,,
SVM-00065,ST-AI-004-01-01,VND-1750,iMerit,,,,Established,2012,LOW,2025-01,Manual,Ango Hub RLHF; expert-guided evaluation; SOC 2/ISO 27001/HIPAA/TISAX compliant,,,
SVM-00066,ST-AI-004-01-01,VND-0988,Labelbox,,,,Established,2018,LOW,2025-01,Manual,RLHF platform; expert human evaluations; differentiated training data for model alignment,,,
SVM-00067,ST-AI-004-01-01,VND-1266,Prolific,,,,Emerging,2014,LOW,2025-01,Manual,200K+ global community; advanced prescreeners; custom targeting for demographic testing,,,
SVM-00068,ST-AI-004-01-01,VND-0850,HiTech Digital,,,,Established,2010,LOW,2025-01,Manual,Task-specific RLHF datasets; expert annotation; real-time feedback integration,,,
SVM-00069,ST-AI-004-01-01,VND-0370,Aya Data,,,,Emerging,2020,LOW,2025-01,Manual,End-to-end RLHF solutions; 98% accuracy in medical diagnostics; GDPR/ISO compliant,,,
SVM-00070,ST-AI-004-05-01,VND-1183,Optimizely,,,,Established,2010,LOW,2025-01,Manual,Full-stack experimentation platform; MAB \+ stats accelerator; collaboration tools,,,
SVM-00071,ST-AI-004-05-01,VND-1632,VWO,,,,Established,2009,LOW,2025-01,Manual,Market leader with behavioral analytics; full-featured experimentation suite,,,
SVM-00072,ST-AI-004-05-01,VND-1486,Statsig,,,,Emerging,2021,LOW,2025-01,Manual,"Free tier (2M events/month); trusted by OpenAI, Notion, Atlassian, Microsoft",,,
SVM-00073,ST-AI-004-05-01,VND-0952,Kameleoon,,,,Established,2012,LOW,2025-01,Manual,Enterprise AI-powered personalization; $35K+/year; 500+ corporate clients,,,
SVM-00074,ST-AI-004-05-01,VND-0228,AB Tasty,,,,Established,2013,LOW,2025-01,Manual,AI-powered personalization; EmotionsAI for visitor behavior; feature flags,,,
SVM-00075,ST-AI-004-05-01,VND-1248,PostHog,,,,Emerging,2020,LOW,2025-01,Manual,Open-source; comprehensive A/B testing with product analytics and feature flags,,,
SVM-00076,ST-AI-001-01-01,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Global leader in human-in-the-loop (HITL) workflows for large-scale object detection.,,,
SVM-00077,ST-AI-001-01-01,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Massive crowd-sourced workforce ideal for high-volume bounding box throughput.,,,
SVM-00078,ST-AI-001-01-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Technology-first platform widely considered the standard for autonomous vehicle bounding box data.,,,
SVM-00079,ST-AI-001-01-01,VND-1705,Wisepl,,,,Emerging,2020,LOW,2025-01,Manual,Specialized in computer vision annotation with a managed workforce model.,,,
SVM-00080,ST-AI-001-01-01,VND-0989,Labellerr,,,,Emerging,2019,LOW,2025-01,Manual,"SaaS platform with ""Smart Feedback Loop"" for iterative bounding box accuracy improvement.",,,
SVM-00081,ST-AI-001-01-02,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,Ethical AI leader specializing in pixel-perfect segmentation for autonomous driving.,,,
SVM-00082,ST-AI-001-01-02,VND-0988,Labelbox,Leader,IDC,1,Established,2018,HIGH,2025-01,Analyst,Advanced vector-labeling tools optimized for complex segmentation masks.,,,
SVM-00083,ST-AI-001-01-02,VND-1750,iMerit,Major Contender,Everest Group,2,Established,2012,HIGH,2025-01,Analyst,Deep expertise in pixel-level labeling for medical imaging and geospatial data.,,,
SVM-00084,ST-AI-001-01-02,VND-1418,Segments.ai,,,,Emerging,2020,LOW,2025-01,Manual,"Specialist founded by CV PhDs, focusing exclusively on multi-sensor segmentation (LiDAR/Image).",,,
SVM-00085,ST-AI-001-01-02,VND-0680,Encord,,,,Emerging,2021,LOW,2025-01,Manual,"Y-Combinator backed platform prioritizing ""micro-model"" automation for faster segmentation.",,,
SVM-00086,ST-AI-001-01-03,VND-0504,CloudFactory,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Managed workforce model delivering cost-effective categorization at massive scale.,,,
SVM-00087,ST-AI-001-01-03,VND-0043,TaskUs,Leader,Everest Group,1,Established,2008,HIGH,2025-01,Analyst,High-quality moderation and classification services for social platforms and retail.,,,
SVM-00088,ST-AI-001-01-03,VND-1504,SunTec.AI,,,,Emerging,2020,LOW,2025-01,Manual,Dedicated AI division offering scalable human-verified image categorization.,,,
SVM-00089,ST-AI-001-01-03,VND-1615,Unitlab AI,,,,Emerging,2023,LOW,2025-01,Manual,No-code platform with auto-labeling features for rapid image classification.,,,
SVM-00090,ST-AI-001-01-04,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Industry-leading quality for fine-grained polygon annotation in robotics.,,,
SVM-00091,ST-AI-001-01-04,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Enterprise-grade tooling for complex shape annotation with ISO-certified security.,,,
SVM-00092,ST-AI-001-01-04,VND-0987,Label Your Data,,,,Emerging,2019,LOW,2025-01,Manual,Security-focused specialist offering precise polygon annotation for EU/US clients.,,,
SVM-00093,ST-AI-001-01-05,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Extensive experience in facial landmark and human pose estimation datasets.,,,
SVM-00094,ST-AI-001-01-05,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,High-precision keypoint labeling used heavily in AR/VR and driver monitoring.,,,
SVM-00095,ST-AI-001-01-05,VND-0680,Encord,,,,Emerging,2021,LOW,2025-01,Manual,Active learning platform that accelerates keypoint annotation for medical/sports AI.,,,
SVM-00096,ST-AI-001-02-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Dominant player in temporal tracking for autonomous vehicle frame sequences.,,,
SVM-00097,ST-AI-001-02-01,VND-0988,Labelbox,Leader,IDC,1,Established,2018,HIGH,2025-01,Analyst,Vector-based video editor allowing continuous object tracking across frames.,,,
SVM-00098,ST-AI-001-02-01,VND-0864,HumanSignal,,,,Emerging,2019,LOW,2025-01,Manual,"Creators of Label Studio, offering open-centric flexible video tracking workflows.",,,
SVM-00099,ST-AI-001-02-01,VND-1504,SunTec.AI,,,,Emerging,2020,LOW,2025-01,Manual,Provides frame-by-frame tracking services with a focus on security/surveillance.,,,
SVM-00100,ST-AI-001-02-02,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,"Large workforce capable of subjective event tagging (e.g., ""shoplifting"", ""scoring"").",,,
SVM-00101,ST-AI-001-02-02,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Strong capability in temporal event localization for media and security clients.,,,
SVM-00102,ST-AI-001-02-02,VND-1705,Wisepl,,,,Emerging,2020,LOW,2025-01,Manual,Cost-effective specialist for temporal action detection in sports and retail video.,,,
SVM-00103,ST-AI-001-03-01,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,The largest global provider of linguistic resources for Named Entity Recognition.,,,
SVM-00104,ST-AI-001-03-01,VND-0473,Centific,Leader,Everest Group,1,Established,1995,HIGH,2025-01,Analyst,"Formerly Pactera Edge, specializes in localization and complex entity extraction.",,,
SVM-00105,ST-AI-001-03-01,VND-1430,Shaip,,,,Emerging,2021,LOW,2025-01,Manual,Specialized platform for medical/clinical NER and conversational AI data.,,,
SVM-00106,ST-AI-001-03-02,VND-0043,TaskUs,Leader,Everest Group,1,Established,2008,HIGH,2025-01,Analyst,Expert in nuance-heavy sentiment analysis and content moderation/safety.,,,
SVM-00107,ST-AI-001-03-02,VND-0504,CloudFactory,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Scalable teams for categorizing user sentiment in social media and support tickets.,,,
SVM-00108,ST-AI-001-03-02,VND-0987,Label Your Data,,,,Emerging,2019,LOW,2025-01,Manual,Offers tailored sentiment analysis services with GDPR compliance focus.,,,
SVM-00109,ST-AI-001-04-01,VND-1581,TranscribeMe,Rep Vendor,Gartner,,Established,2011,MEDIUM,2025-01,Analyst,Best-in-class accuracy for specialized legal and medical transcription.,,,
SVM-00110,ST-AI-001-04-01,VND-1750,iMerit,Major Contender,Everest Group,2,Established,2012,HIGH,2025-01,Analyst,Strong audio capabilities for training voice assistants and ASR models.,,,
SVM-00111,ST-AI-001-05-01,VND-1398,Sama,Major Contender,Everest Group,2,Established,2008,HIGH,2025-01,Analyst,Recognized market leader for 3D LiDAR annotation quality and workforce skill.,,,
SVM-00112,ST-AI-001-05-01,VND-1405,Scale AI,Leader,IDC,1,Established,2016,HIGH,2025-01,Analyst,Pioneer in 3D sensor fusion annotation for the AV industry.,,,
SVM-00113,ST-AI-001-05-01,VND-1418,Segments.ai,,,,Emerging,2020,LOW,2025-01,Manual,Niche leader in multi-sensor 3D point cloud segmentation for robotics.,,,
SVM-00114,ST-AI-001-03-03,VND-0355,Automation Anywhere,Leader,Gartner,1,Established,2003,HIGH,2025-01,Analyst,Major player in Intelligent Document Processing (IDP) and extraction.,,,
SVM-00115,ST-AI-001-03-03,VND-1507,SuperAnnotate,Rep Vendor,Gartner,,Established,2018,MEDIUM,2025-01,Analyst,Offers specialized toolkits for layout analysis and OCR correction.,,,
SVM-00116,ST-AI-001-03-03,VND-1332,Reducto AI,,,,Emerging,2023,LOW,2025-01,Manual,Focuses on ingesting and structuring complex documents for LLM RAG pipelines.,,,
SVM-00117,ST-AI-001-03-03,VND-0385,Base64.ai,,,,Emerging,2020,LOW,2025-01,Manual,"AI service specializing in universal document extraction (IDs, forms, invoices).",,,
SVM-00118,ST-AI-001-04-02,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,Unrivaled global crowd for collecting speech data in 180+ languages/dialects.,,,
SVM-00119,ST-AI-001-04-02,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Rapidly growing specialist in collecting high-volume speech data for generative AI.,,,
SVM-00120,ST-AI-001-04-02,VND-1430,Shaip,,,,Emerging,2021,LOW,2025-01,Manual,Platform-centric vendor specializing in diverse clinical and conversational audio collection.,,,
SVM-00121,ST-AI-001-01-06,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,"Massive global reach for collecting diverse image datasets (faces, environments).",,,
SVM-00122,ST-AI-001-01-06,VND-0473,Centific,Leader,Everest Group,1,Established,1995,HIGH,2025-01,Analyst,(OneForma) Strong platform for sourcing custom image datasets globally.,,,
SVM-00123,ST-AI-001-01-06,VND-1504,SunTec.AI,,,,Emerging,2020,LOW,2025-01,Manual,Custom data collection services for training computer vision models.,,,
SVM-00124,ST-AI-001-02-03,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,"Capable of directing complex video collection scenarios (e.g., ""filming specific gestures"").",,,
SVM-00125,ST-AI-001-02-03,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Specializes in collecting video data for biometric and action recognition systems.,,,
SVM-00126,ST-AI-001-02-03,VND-0987,Label Your Data,,,,Emerging,2019,LOW,2025-01,Manual,Offers bespoke video collection services compliant with EU privacy laws.,,,
SVM-00127,ST-AI-001-03-04,VND-1527,TELUS International,Leader,Everest Group,1,Established,2005,HIGH,2025-01,Analyst,Premier provider for collecting text corpora for LLM training and RLHF.,,,
SVM-00128,ST-AI-001-03-04,VND-0317,Appen,Leader,Everest Group,1,Established,1996,HIGH,2025-01,Analyst,The go-to vendor for collecting rare language text and dialect data.,,,
SVM-00129,ST-AI-001-03-04,VND-1430,Shaip,,,,Emerging,2021,LOW,2025-01,Manual,Focuses on healthcare text collection and conversational AI scripts.,,,
SVM-00130,ST-AI-001-03-05,VND-0473,Centific,Leader,Everest Group,1,Established,1995,HIGH,2025-01,Analyst,(OneForma) One of the strongest platforms for long-tail language data collection.,,,
SVM-00131,ST-AI-001-03-05,VND-1310,RWS,Leader,IDC,1,Established,1958,HIGH,2025-01,Analyst,(TrainAI) Deep heritage in translation and linguistic data services.,,,
SVM-00132,ST-AI-001-03-05,VND-0981,LXT,Major Contender,Everest Group,2,Established,2010,HIGH,2025-01,Analyst,Strategic focus on expanding language coverage for generative AI models.,,,
SVM-00133,ST-AI-003-01-01,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"Agent-led data modernization, ML pipeline engineering with 7,800+ data engineers",,,
SVM-00134,ST-AI-003-01-01,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"BigDecisions platform, cloud-native pipelines, TriZetto healthcare expertise",,,
SVM-00135,ST-AI-003-01-01,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"AI Assist platform for SDLC automation, consulting-led transformation",,,
SVM-00136,ST-AI-003-01-01,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"AI.Cloud business unit, governance frameworks, cloud-native MLOps",,,
SVM-00137,ST-AI-003-01-01,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"AI & Data Engineering with 7,800+ engineers, 500+ projects completed",,,
SVM-00138,ST-AI-003-01-01,VND-0047,HCLTech,Leader,Everest Group,1,Established,1976,HIGH,2025-01,Analyst,Data engineering services with healthcare analytics specialization,,,
SVM-00139,ST-AI-003-01-01,VND-0008,Wipro,Leader,Everest Group,1,Established,1945,HIGH,2025-01,Analyst,"Wipro Intelligence platform, HOLMES GenAI integration",,,
SVM-00140,ST-AI-003-01-01,VND-0010,Infosys,,,,Established,1981,LOW,2025-01,Manual,"Infosys Topaz/Cobalt platforms, multi-agentic solutions, small language models",,,
SVM-00141,ST-AI-003-01-01,VND-1446,Sigmoid,,,,Established,2013,LOW,2025-01,Manual,"5,000+ pipelines built, D.A.T.A framework, data quality accelerators",,,
SVM-00142,ST-AI-003-01-01,VND-1585,Tredence,,,,Established,2013,LOW,2025-01,Manual,"DataOps/MLOps expertise, retail/banking/telecom focus",,,
SVM-00143,ST-AI-003-01-01,VND-1267,Prolifics,,,,Established,1978,LOW,2025-01,Manual,"40% faster data availability, cloud-native solutions",,,
SVM-00144,ST-AI-003-01-01,VND-0404,BluEnt,,,,Established,2012,LOW,2025-01,Manual,"Real-time ETL, self-healing pipelines, AI-driven transformations",,,
SVM-00145,ST-AI-003-01-02,VND-0001,Accenture,Leader,Everest Group,1,Established,1989,HIGH,2025-01,Analyst,"MLOps managed services, agent-based automation, 24/7 monitoring",,,
SVM-00146,ST-AI-003-01-02,VND-0009,Cognizant,Leader,Everest Group,1,Established,1994,HIGH,2025-01,Analyst,"MLOps consulting, cloud optimization, automated DevOps",,,
SVM-00147,ST-AI-003-01-02,VND-0059,Deloitte,Leader,Everest Group,1,Established,,HIGH,2025-01,Analyst,"AI/Data Operations Management, Modern Operate platform",,,
SVM-00148,ST-AI-003-01-02,VND-0003,TCS,Leader,Everest Group,1,Established,1968,HIGH,2025-01,Analyst,"Enterprise MLOps consulting, Jile platform, DevSecOps",,,
SVM-00149,ST-AI-003-01-02,VND-0004,Capgemini,Leader,Everest Group,1,Established,1967,HIGH,2025-01,Analyst,"Data Estate Modernization, CI/CD pipelines, monitoring frameworks",,,
SVM-00150,ST-AI-003-01-02,VND-0047,HCLTech,Leader,Everest Group,1,Established,1976,HIGH,2025-01,Analyst,"MLOps and pipeline monitoring, advanced analytics",,,
SVM-00151,ST-AI-003-01-02,VND-0008,Wipro,Leader,Everest Group,1,Established,1945,HIGH,2025-01,Analyst,"DevSecOps pipelines, Apex platform, 50-75% improvement",,,
