Rule_ID,Rule_Name,Rule_Category,Applicable_Towers,Condition_Type,Condition_Config,Severity_Weight,Recommended_Treatment,Description,Mitigation_Text,Is_Active,Created_Date,Last_Updated,Threshold_Metric,Threshold_Operator,Threshold_Value
RISK-012,Auto-Renewal Without Review,CONTRACT_WEAKNESS,ALL,PATTERN,"{""field"":""auto_renewal"",""value"":true,""no_review_flag"":true}",3.0,CONTRACTING_OFFICE,Contract has auto-renewal clause without documented review process,,True,2026-02-09,2026-02-09,auto_renewal,,True
RISK-013,Staff Augmentation for Managed Service Work,GOVERNANCE_GAP,ALL,PATTERN,"{""field"":""pricing_model"",""value"":""T&M"",""service_type"":""managed_service_candidate""}",3.5,SOURCING_ACCELERATOR,Using T&M/staff aug model for work better suited to managed services — likely overpaying,,True,2026-02-09,2026-02-09,pricing_model,,T&M
RISK-014,Vendor Financial Health D/F Rating,VENDOR_RISK,ALL,THRESHOLD,"{""field"":""financial_health_score"",""operator"":""in"",""value"":[""D"",""F""]}",4.5,ASSESSMENT,Vendor has poor financial health rating — business continuity risk,,True,2026-02-09,2026-02-09,financial_health_score,in,"['D', 'F']"
RISK-015,Vendor Single Point of Failure,VENDOR_RISK,ALL,PATTERN,"{""field"":""vendor_service_count"",""operator"":"">"",""value"":5,""single_vendor"":true}",4.0,SOURCING_ACCELERATOR,Single vendor provides >5 distinct service types — concentration and dependency risk,,True,2026-02-09,2026-02-09,vendor_service_count,>,5
RISK-016,No SLA Documentation,GOVERNANCE_GAP,ALL,MISSING_DATA,"{""field"":""sla_status"",""value"":""missing""}",3.5,CONTRACTING_OFFICE,No SLA documentation for active vendor — no performance accountability,,True,2026-02-09,2026-02-09,sla_status,,missing
RISK-017,Invoice Without PO Match,COMPLIANCE_GAP,ALL,PATTERN,"{""field"":""po_match_status"",""value"":""unmatched""}",3.0,MIMO,Invoice processed without matching purchase order,,True,2026-02-09,2026-02-09,po_match_status,,unmatched
RISK-018,Duplicate Invoice Pattern,COMPLIANCE_GAP,ALL,PATTERN,"{""field"":""duplicate_invoice_flag"",""value"":true}",4.5,MIMO,Potential duplicate invoices detected — overpayment risk,,True,2026-02-09,2026-02-09,duplicate_invoice_flag,,True
RISK-019,Spend Growth >25% YoY Without Review,SPEND_CONCENTRATION,ALL,THRESHOLD,"{""field"":""yoy_spend_growth_pct"",""operator"":"">"",""value"":0.25}",3.0,ASSESSMENT,Category spend growing >25% year-over-year without documented review,,True,2026-02-09,2026-02-09,yoy_spend_growth_pct,>,0.25
RISK-020,Offshore Concentration >80%,MARKET_RISK,ALL,RATIO,"{""field"":""offshore_spend_pct"",""operator"":"">"",""value"":0.80,""scope"":""category""}",3.0,SOURCING_ACCELERATOR,Over 80% of category delivered offshore — geographic concentration risk,,True,2026-02-09,2026-02-09,offshore_spend_pct,>,0.8
RISK-021,Single Country Delivery,MARKET_RISK,ALL,PATTERN,"{""field"":""delivery_country_count"",""operator"":""="",""value"":1,""high_spend"":true}",3.5,SOURCING_ACCELERATOR,All delivery from single country for high-spend category — geopolitical risk,,True,2026-02-09,2026-02-09,delivery_country_count,=,1
RISK-022,Tail Spend (many vendors <$50K each),SPEND_CONCENTRATION,ALL,PATTERN,"{""field"":""vendor_count_under_50k"",""operator"":"">"",""value"":10,""scope"":""category""}",2.5,ASSESSMENT,Many small vendors (<$50K each) — consolidation opportunity,,True,2026-02-09,2026-02-09,vendor_count_under_50k,>,10
RISK-023,Maverick Spend (non-preferred vendor),COMPLIANCE_GAP,ALL,PATTERN,"{""field"":""preferred_vendor_flag"",""value"":false,""spend_threshold"":100000}",3.0,MIMO,Significant spend with non-preferred vendors — compliance gap,,True,2026-02-09,2026-02-09,preferred_vendor_flag,,False
RISK-024,Missing Category Classification,GOVERNANCE_GAP,ALL,MISSING_DATA,"{""field"":""category_code"",""value"":""unclassified""}",3.0,ASSESSMENT,Spend not classified to any category — visibility gap,,True,2026-02-09,2026-02-09,category_code,,unclassified
RISK-025,Benefits Administration Redundancy,VENDOR_RISK,HR,PATTERN,"{""field"":""vendor_count"",""operator"":"">"",""value"":3,""category"":""CAT-HR-002""}",3.5,SOURCING_ACCELERATOR,Multiple vendors providing overlapping benefits administration — redundancy and cost risk,,True,2026-02-09,2026-02-09,vendor_count,>,3
RISK-026,Medical Cost Counter-Trend,RATE_ANOMALY,HR,THRESHOLD,"{""field"":""yoy_category_growth_pct"",""operator"":"">"",""value"":0.15,""category"":""CAT-HR-001""}",4.0,SOURCING_ACCELERATOR,Medical costs growing counter to overall spend trend — structural cost driver,,True,2026-02-09,2026-02-09,yoy_category_growth_pct,>,0.15
RISK-027,Flagged/Miscellaneous Payments,COMPLIANCE_GAP,ALL,PATTERN,"{""field"":""category_flag"",""value"":""FLAGGED""}",5.0,MIMO,Payments flagged as miscellaneous or unclassifiable — potential compliance issue,,True,2026-02-09,2026-02-09,category_flag,,FLAGGED
RISK-028,No Competitive Bid History,CONTRACT_WEAKNESS,ALL,MISSING_DATA,"{""field"":""last_competitive_bid_date"",""value"":""missing"",""spend_threshold"":500000}",3.5,SOURCING_ACCELERATOR,No competitive bid on record for high-spend vendor relationship,,True,2026-02-09,2026-02-09,last_competitive_bid_date,,missing
RISK-029,Contract Term >5 Years,CONTRACT_WEAKNESS,ALL,THRESHOLD,"{""field"":""contract_term_months"",""operator"":"">"",""value"":60}",3.0,CONTRACTING_OFFICE,Contract term exceeds 5 years — market rate drift risk,,True,2026-02-09,2026-02-09,contract_term_months,>,60
RISK-030,No Rate Escalation Cap,CONTRACT_WEAKNESS,ALL,MISSING_DATA,"{""field"":""rate_escalation_cap"",""value"":""missing""}",3.0,CONTRACTING_OFFICE,Contract lacks rate escalation cap — uncontrolled cost increase risk,,True,2026-02-09,2026-02-09,rate_escalation_cap,,missing
RISK-031,High Attrition Delivery Location,MARKET_RISK,"HR,IT,CX",THRESHOLD,"{""field"":""location_attrition_rate"",""operator"":"">"",""value"":0.30}",3.0,ASSESSMENT,Primary delivery location has >30% annual attrition — service quality risk,,True,2026-02-09,2026-02-09,location_attrition_rate,>,0.3
RISK-032,Vendor Below Minimum Viable Scale,VENDOR_RISK,ALL,THRESHOLD,"{""field"":""vendor_employee_count"",""operator"":""<"",""value"":50}",2.5,ASSESSMENT,Vendor has fewer than 50 employees — sustainability and scalability risk,,True,2026-02-09,2026-02-09,vendor_employee_count,<,50
RISK-033,High Invoice Variance (>15% from PO),COMPLIANCE_GAP,ALL,THRESHOLD,"{""field"":""invoice_po_variance_pct"",""operator"":"">"",""value"":0.15}",3.5,MIMO,Invoice amount varies >15% from purchase order — billing accuracy issue,,True,2026-02-09,2026-02-09,invoice_po_variance_pct,>,0.15
RISK-034,Seasonal Spend Spike (>2x average),RATE_ANOMALY,ALL,THRESHOLD,"{""field"":""monthly_spend_ratio"",""operator"":"">"",""value"":2.0}",2.5,MIMO,Monthly spend >2x rolling average — may indicate scope creep or billing anomaly,,True,2026-02-09,2026-02-09,monthly_spend_ratio,>,2.0
RISK-035,Multi-Year No Rate Review,CONTRACT_WEAKNESS,ALL,THRESHOLD,"{""field"":""last_rate_review_months"",""operator"":"">"",""value"":24}",3.5,CONTRACTING_OFFICE,No rate review in >24 months — likely paying above current market,,True,2026-02-09,2026-02-09,last_rate_review_months,>,24
RISK-036,Vendor in Sanctioned Country,VENDOR_RISK,ALL,PATTERN,"{""field"":""vendor_country"",""value"":""sanctioned_list""}",5.0,ASSESSMENT,Vendor headquartered or delivering from sanctioned country — compliance risk,,True,2026-02-09,2026-02-09,vendor_country,,sanctioned_list
RISK-037,No Disaster Recovery Plan,VENDOR_RISK,"IT,CX",MISSING_DATA,"{""field"":""dr_plan_status"",""value"":""missing""}",3.5,CONTRACTING_OFFICE,Vendor lacks documented disaster recovery plan for critical services,,True,2026-02-09,2026-02-09,dr_plan_status,,missing
RISK-038,Payment Terms Inconsistency,COMPLIANCE_GAP,ALL,PATTERN,"{""field"":""payment_terms_variance"",""value"":true}",2.5,MIMO,Same vendor has different payment terms across business units — standardization opportunity,,True,2026-02-09,2026-02-09,payment_terms_variance,,True
RISK-039,Vendor Merger/Acquisition Activity,VENDOR_RISK,ALL,PATTERN,"{""field"":""vendor_ma_flag"",""value"":true}",3.0,ASSESSMENT,Vendor involved in recent M&A — service continuity and contract assignment risk,,True,2026-02-09,2026-02-09,vendor_ma_flag,,True
RISK-040,IT Shadow Spend,COMPLIANCE_GAP,IT,PATTERN,"{""field"":""category_mismatch"",""value"":""it_in_non_it_category""}",3.5,ASSESSMENT,IT-related spend classified under non-IT categories — shadow IT spend,,True,2026-02-09,2026-02-09,category_mismatch,,it_in_non_it_category
RISK-041,Contingent Labor Compliance Gap,COMPLIANCE_GAP,HR,PATTERN,"{""field"":""contingent_classification"",""value"":""misclassified""}",4.0,CONTRACTING_OFFICE,Contingent labor potentially misclassified — co-employment and tax risk,,True,2026-02-09,2026-02-09,contingent_classification,,misclassified
RISK-042,No Transition Assistance Clause,CONTRACT_WEAKNESS,ALL,MISSING_DATA,"{""field"":""transition_clause"",""value"":""missing"",""spend_threshold"":250000}",3.0,CONTRACTING_OFFICE,Contract lacks transition assistance provision — vendor lock-in risk,,True,2026-02-09,2026-02-09,transition_clause,,missing
RISK-043,Cross-Category Vendor Conflict,VENDOR_RISK,ALL,PATTERN,"{""field"":""vendor_advisory_and_delivery"",""value"":true}",3.0,ASSESSMENT,Same vendor provides both advisory and delivery services — independence concern,,True,2026-02-09,2026-02-09,vendor_advisory_and_delivery,,True
RISK-044,Rapid Vendor Proliferation,GOVERNANCE_GAP,ALL,THRESHOLD,"{""field"":""new_vendors_12mo"",""operator"":"">"",""value"":5,""scope"":""category""}",2.5,ASSESSMENT,More than 5 new vendors added to category in 12 months without consolidation strategy,,True,2026-02-09,2026-02-09,new_vendors_12mo,>,5
RISK-045,Currency Exposure (>20% non-USD),MARKET_RISK,ALL,RATIO,"{""field"":""non_usd_spend_pct"",""operator"":"">"",""value"":0.20}",2.5,MIMO,More than 20% of category spend in non-USD currencies — exchange rate risk,,True,2026-02-09,2026-02-09,non_usd_spend_pct,>,0.2
RISK-046,Subcontractor Transparency Gap,VENDOR_RISK,ALL,MISSING_DATA,"{""field"":""subcontractor_disclosure"",""value"":""missing""}",3.0,CONTRACTING_OFFICE,Primary vendor uses subcontractors without disclosure — accountability gap,,True,2026-02-09,2026-02-09,subcontractor_disclosure,,missing
RISK-047,SLA Below Industry Standard,GOVERNANCE_GAP,ALL,BENCHMARK_DEVIATION,"{""field"":""sla_target"",""operator"":""<"",""value"":""industry_standard""}",3.0,CONTRACTING_OFFICE,Contracted SLA targets below industry standard benchmarks,,True,2026-02-09,2026-02-09,sla_target,<,industry_standard
RISK-048,End-of-Life Technology,VENDOR_RISK,IT,PATTERN,"{""field"":""technology_eol_flag"",""value"":true}",3.5,SOURCING_ACCELERATOR,Vendor delivering on end-of-life technology platform — modernization needed,,True,2026-02-09,2026-02-09,technology_eol_flag,,True
RISK-049,Regulatory Change Exposure,MARKET_RISK,"HR,FA",PATTERN,"{""field"":""regulatory_change_flag"",""value"":true}",3.0,ASSESSMENT,Pending regulatory changes may impact service delivery requirements or costs,,True,2026-02-09,2026-02-09,regulatory_change_flag,,True
RISK-050,No Governance Meeting Cadence,GOVERNANCE_GAP,ALL,MISSING_DATA,"{""field"":""governance_cadence"",""value"":""missing"",""spend_threshold"":500000}",3.0,ASSESSMENT,No documented governance meeting cadence for high-spend vendor relationship,,True,2026-02-09,2026-02-09,governance_cadence,,missing
